"FSC-A","SSC-A","APC-A","FITC-A","Time"
58291.7,48002.9,407.15,525.45,0.518442
88936.6,67371.1,1.7,961.62,0.5256
52198.5,50730.6,237.15,727.26,0.530713
68207.8,56883.4,220.15,929.07,0.540939
46077.5,41752.4,18.7,648.21,0.544007
68961.5,62951.7,1439.05,697.5,0.546052
64060.3,40437.3,22.95,674.25,0.551165
39061.6,36772.2,17.85,452.91,0.5573
42917.5,40142.5,23.8,580.32,0.559345
44646.9,78430.6,45.05,835.14,0.559345
67688,58818.8,28.9,655.65,0.564458
47121.9,37340.4,1129.65,533.82,0.568548
43002.9,53761.4,50.15,628.68,0.572639
82181.3,59354.5,62.9,864.9,0.574684
29407.8,42372.7,10027.5,682.62,0.577751
47938,66137.9,67.15,773.76,0.580819
68764,68143.9,4.25,528.24,0.585932
38710,52003.7,31.45,498.48,0.587977
86882.6,59463.3,304.3,907.68,0.590022
54905.8,44336.8,68.85,708.66,0.590022
68129.6,78448.3,3.4,787.71,0.592067
69607.7,48987.8,19.55,874.2,0.594112
41621.2,57301.9,50.15,651,0.596158
54698,55376.9,49.3,690.99,0.59718
76659.2,72156.8,60.35,903.96,0.600248
35299.6,56863,31798.5,763.53,0.60127
43850.5,41704.9,15215,518.94,0.60127
98350.3,68316.9,1258.85,917.91,0.602293
91846.2,80363.2,-6.8,1209.93,0.602293
29482.8,40216.9,40983.6,635.19,0.603316
34869,36503.4,-12.75,497.55,0.605361
42952.3,55233.6,9635.6,433.38,0.607406
84400.4,79112.3,50.15,1077.87,0.610474
54240.6,74420.5,85,976.5,0.611496
60121.4,43812.3,17,584.04,0.612519
59225.5,83660.9,19780.3,910.47,0.613541
69335.1,59044.8,9.35,688.2,0.617631
44659.5,44339.6,61.2,477.09,0.619677
46637.7,38266.7,52.7,648.21,0.621722
34041.9,39646.8,4115.7,428.73,0.622744
56673,57382.9,117.3,548.7,0.625812
55507,56544,42.5,717.03,0.627857
86343.1,66998.1,22.1,864.9,0.627857
65093.6,57724.2,60.35,810.96,0.62888
77739.2,59100.6,41.65,655.65,0.631947
65495.7,65149.3,50.15,900.24,0.63297
40135.2,66030,10354.7,747.72,0.639105
36663.1,32815.1,47.6,368.28,0.641151
70717.6,46654.4,55.25,692.85,0.643196
91336.6,64170,51,842.58,0.647286
78557.6,68745.6,36.55,940.23,0.654444
57889.6,55663.3,6.8,664.02,0.654444
36876.4,49492.7,60.35,587.76,0.662625
69049.2,54223.7,4.25,575.67,0.666715
68718.9,37916.1,28.9,481.74,0.666715
60742.3,45811.8,39.1,454.77,0.669783
54684.6,41618.4,15.3,669.6,0.670805
63297.2,37795.2,-12.75,378.51,0.675918
49913.8,50730.6,5.95,649.14,0.678986
48293.5,61281.4,17,947.67,0.678986
80026.2,59187.1,49.3,885.36,0.681031
47449,34917.8,55.25,434.31,0.681031
71085,46949.2,24.65,717.03,0.682053
64750,42057.4,22.1,589.62,0.685121
64626.7,64013.8,52.7,801.66,0.690234
68990.7,79316,98.6,845.37,0.695347
49732.1,39231.1,32.3,641.7,0.696369
43557.4,26224.1,16.15,346.89,0.697392
76804.6,70280.1,19.55,907.68,0.698414
52116.3,77007.7,-2.55,850.95,0.699437
65940.5,61210.7,-11.05,774.69,0.703527
49221.7,43410.5,384.2,617.52,0.705572
37340.1,52392.5,54.4,540.33,0.709663
68957.5,52473.4,15.3,812.82,0.713753
70328.2,78041.9,22.1,712.38,0.714776
60122.2,48497.6,60.35,658.44,0.715798
47165.4,40751.7,39.95,552.42,0.717843
71885.3,51882.8,23.8,94940.9,0.718866
71727.3,56081.8,62.05,722.61,0.718866
54212.2,50229.3,73.1,504.06,0.719888
96878.5,79338.3,6.8,824.91,0.723979
64927.7,38130,68.85,389.67,0.727046
62880.1,75071.5,32.3,805.38,0.730114
40215.7,46925,51,608.22,0.732159
58191.4,56338.5,30.6,823.98,0.734204
43721.8,36888.4,19.55,438.03,0.734204
51816.9,65531.5,67.15,818.4,0.74034
57015.1,54498,93.5,861.18,0.745453
35696.2,35292.6,55.25,292.02,0.74852
48688.5,46120.6,14482.3,579.39,0.749543
61108.1,66083.9,27.2,828.63,0.750565
64085.6,43630.9,678.3,637.05,0.751588
62647.8,52174.9,46.75,837,0.752611
78533.9,75572.7,44.2,903.96,0.755678
29711.9,50525,8715.9,458.49,0.755678
84983.5,75138.4,22.1,793.29,0.757723
51669.2,65897,8002.75,1946.49,0.760791
47536.7,48162.8,56.95,689.13,0.760791
70385.8,66881,66.3,964.41,0.765904
42374.8,50188.4,23.8,409.2,0.765904
38638.1,47183.6,26438.4,10673.6,0.771017
46528.6,62484.8,27.2,863.04,0.771017
54014.7,40838.2,12.75,470.58,0.773062
62161.9,45823,70.55,633.33,0.779197
51635.2,59293.1,28.05,1127.16,0.782265
70517.8,70214.1,75.65,777.48,0.786355
72409,58766.7,8.5,983.01,0.787378
68122.5,41011.1,10.2,533.82,0.7884
27662.6,42172.7,24.65,479.88,0.792491
79051.4,69761.2,71.4,975.57,0.796581
83074,55449.4,57.8,632.4,0.800671
82528.9,53183,-10.2,611.94,0.804762
53475.9,54896,28815,430.59,0.806807
55230.5,51088.6,7.65,744.93,0.808852
44838,54768.6,107.1,645.42,0.814987
79490.6,65450.6,50.15,830.49,0.81601
36950.7,51832.6,4766.8,603.57,0.819078
87016.1,64448.1,24.65,910.47,0.819078
60205.1,56246.4,17.85,761.67,0.8201
63340.6,73524.9,3.4,1049.97,0.8201
46871.5,48305.1,90.95,365.49,0.822145
51601.2,62722.9,40.8,723.54,0.82419
78331.7,43358.5,6.8,463.14,0.82419
70593.6,56443.6,72.25,772.83,0.827258
39422.6,55146.2,3671.15,685.41,0.827258
41262.5,61066.6,36.55,620.31,0.829303
40466.2,45238,37.4,468.72,0.831348
53074.6,56088.3,181.9,685.41,0.834416
68357.1,61590.2,40.8,751.44,0.834416
55514.9,34185.9,20.4,520.8,0.845664
50997.7,44455.9,11.05,527.31,0.852822
51683.4,65692.4,47.6,705.87,0.853845
73434.5,64288.1,5906.65,932.79,0.854867
32281.8,50738,419.9,625.89,0.857935
48530.5,46028.5,55.25,895.59,0.862025
72658.7,73099.9,69.7,846.3,0.863048
101268,67448.2,63.75,820.26,0.867138
53883.5,89068.9,72.25,881.64,0.869183
24497.1,48619.5,38.25,656.58,0.872251
51371.3,43176.2,73.95,681.69,0.885544
67429.7,40429.9,19.55,568.23,0.88759
48544.7,35978,11.9,478.95,0.890657
82486.3,64532.7,79.9,826.77,0.892703
44977.9,75770.8,65.45,945.81,0.892703
60663.3,50366,8.5,709.59,0.89577
77731.3,52318.1,5.1,710.52,0.898838
83565.4,82323.6,35.7,964.41,0.902928
44875.2,57135.5,34,717.03,0.905996
53974.4,41739.3,22.1,623.1,0.905996
42848,74732.9,97.75,890.94,0.908041
73203.8,46386.5,38.25,594.27,0.910086
50526,66191.8,20764.7,649.14,0.914176
84508.7,62805.7,162.35,782.13,0.918267
59235.8,38722.4,14.45,447.33,0.919289
43675.2,49743.8,63.75,527.31,0.920312
34528.5,38825.6,4.25,611.94,0.92747
81446.6,43441.2,15.3,656.58,0.930538
73925.8,54817.9,69.7,558.93,0.932583
60336.2,59370.3,54.4,665.88,0.946899
31450.7,52565.5,10.2,524.52,0.952011
84588.5,59744.1,45.9,690.06,0.960192
47600.7,48158.2,44.2,495.69,0.962237
65612.7,49184,71.4,642.63,0.966327
54838.6,40554.5,51,456.63,0.96735
62027.6,58873.7,21873.9,713.31,0.969395
81704.2,58541.6,0.85,721.68,0.969395
71748.6,54779.8,-29.75,717.03,0.974508
81775.3,58770.4,61.2,838.86,0.975531
106310,72329.8,150.45,765.39,0.977576
49693.4,48822.2,18.7,553.35,0.978598
70830.6,70832.5,81.6,891.87,0.984734
84560,59358.2,88.4,677.97,0.984734
57486.7,54807.7,37.4,652.86,0.987801
52164.5,51568.5,532.95,785.85,0.988824
90915.6,57803.2,28.9,857.46,0.992914
60855.3,45282.6,56.1,648.21,0.994959
68428.2,44553.5,22.95,533.82,0.995982
77548.8,44484.7,80.75,572.88,0.995982
73727.5,44822.3,70.55,552.42,0.997005
49892.5,32343.5,17.85,400.83,1.00416
76965,64853.6,23.8,670.53,1.00621
37878.9,38201.6,47.6,372,1.00621
65578.7,66631.7,-17,928.14,1.00928
61691.9,58896.9,16.15,733.77,1.00928
56836.6,61516.7,27.2,753.3,1.01132
38456.4,34210.1,6272.15,347.82,1.01337
42202.6,56507.7,30.6,989.52,1.01439
56528.5,55995.3,3.4,753.3,1.01541
38224.2,48427.9,-12.75,613.8,1.01746
78249.5,74639,62.9,974.64,1.0195
55096.2,67876,11.9,618.45,1.02257
71789.7,59843.6,42.5,696.57,1.02461
65581.1,69680.2,39.1,967.2,1.02666
80766.4,54909.1,40.8,738.42,1.02768
74599.7,63822.2,132.6,850.95,1.0287
50453.4,50588.3,2098.65,611.01,1.03075
79515.1,67983.9,30.6,1075.08,1.03075
36409.5,31191.3,-7.65,461.28,1.03177
57641.6,37718.9,14.45,441.75,1.03177
62344.4,59240.1,8.5,703.08,1.03177
48437.3,45931.8,35.7,1042.53,1.03382
39700.7,34218.4,34.85,456.63,1.03586
65687.7,81464.3,23.8,841.65,1.03688
61036.2,42330.8,6.8,527.31,1.03688
76884.4,69391,95.2,937.44,1.03995
55778.7,56510.5,26.35,773.76,1.042
44573.4,37333.9,18.7,528.24,1.04302
55436.7,69986.2,37.4,845.37,1.04507
72598.6,48161,1.7,803.52,1.05529
82887.6,80379.9,71.4,991.38,1.05631
69369.1,70633.5,49569.5,965.34,1.05734
109699,72498.1,38.25,1126.23,1.05836
65705.9,51074.7,69.7,590.55,1.0604
89864.1,64690.8,38.25,1016.49,1.06245
35327.2,34725.3,41.65,368.28,1.06756
80310.6,81748.9,43.35,878.85,1.06858
44376.7,45490.9,9.35,373.86,1.06858
63452.8,51975.8,28.9,451.05,1.07063
65010.7,50368.8,-10.2,607.29,1.07267
78541.8,50640.4,56.1,695.64,1.07574
87609.4,79856.3,56.95,940.23,1.07779
75388.9,77357.4,115.6,864.9,1.08597
55557.5,63879.8,34.85,709.59,1.09722
42878.8,45932.7,42.5,431.52,1.09824
74964.7,66835.4,24667.9,1575.42,1.10233
36316.3,48656.7,-6.8,616.59,1.10437
72228.9,57186.6,68.85,651,1.10642
48352,39635.7,9.35,378.51,1.10744
94332.3,70782.3,54.4,1310.37,1.11051
