"FSC-A","SSC-A","APC-A","FITC-A","Time"
35905.5,42290.8,23.8,523.59,0.611651
54355.2,56090.2,-17,611.94,0.615709
35616.4,39708.2,-21.25,578.46,0.615709
48686.9,43472.9,-0.85,641.7,0.617738
98485.4,59088.5,50.15,827.7,0.621795
46960.8,54856.1,-0.85,706.8,0.622809
59744.5,63150.7,13.6,702.15,0.630924
46929.2,65596.6,27.2,1110.42,0.644111
60319.7,46465.6,-6.8,618.45,0.646139
72317.4,40576.8,13.6,653.79,0.655268
61898.1,52471.5,-6.8,517.08,0.662369
45145.3,46589.3,14.45,590.55,0.665412
76281.6,72842.2,75.65,881.64,0.668455
46978.9,48998,30.6,645.42,0.674541
38869.6,54104.6,25.5,584.04,0.681641
51598.1,48050.3,-5.95,564.51,0.681641
53313.2,69650.5,8.5,946.74,0.68367
57248.9,69917.4,17,943.02,0.684684
24717.5,43418.9,12.75,693.78,0.686713
56717.3,64145.8,35.7,1038.81,0.687728
42496.5,54967.7,22.95,783.99,0.692799
80234.8,61528.8,19.55,765.39,0.692799
55861.7,46084.3,3.4,571.95,0.693814
41045.2,75805.2,37.4,1070.43,0.694828
66138,66337.8,13.6,789.57,0.695842
52757.8,79924.2,11.9,1009.05,0.697871
55653.9,58422.6,50.15,636.12,0.701928
43083.4,54976.9,25.5,587.76,0.702943
33808.8,44687.4,41.65,549.63,0.702943
88781.8,57538.2,46.75,734.7,0.703957
42441.2,45913.2,72.25,707.73,0.711057
62883.2,53950.2,30.6,833.28,0.711057
73510.3,50988.2,-0.85,657.51,0.717144
63549.2,75184.9,73.1,1321.53,0.719172
41710.4,40718.2,16.15,571.95,0.722215
58701.7,41716.1,-3.4,518.01,0.72323
62969.3,84447.7,18.7,788.64,0.724244
69004.1,75691.8,20.4,896.52,0.724244
40342.1,42647,17.85,505.92,0.724244
60507.7,63291.2,-11.9,772.83,0.728301
45936.9,41913.2,0.85,687.27,0.729316
75331.2,83864.6,57.8,996.96,0.734388
54484.7,56330.1,36.55,683.55,0.735402
38888.5,40307.1,13.6,601.71,0.736416
50071,36403,-0.85,530.1,0.737431
43794.4,62648.5,0,784.92,0.738445
31519.4,52608.2,54.4,608.22,0.738445
56588.5,78906.8,19.55,1023.93,0.743517
95524.4,71786.7,-17,1674.93,0.747574
69670.9,76528.8,3.4,938.37,0.758732
65692.5,67351.5,42.5,927.21,0.764818
62402.1,41085.5,22.95,1272.24,0.76989
42018.5,45521.6,32.3,503.13,0.77699
65346.4,79555,18.7,1373.61,0.779019
90151.6,72371.7,23.8,885.36,0.779019
45538.8,62069.1,0,748.65,0.783076
62754.4,68916.7,30.6,607.29,0.783076
61213.9,79970.7,73.95,1175.52,0.783076
103924,86944.8,34.85,1195.05,0.786119
84514.2,70105.3,26.35,843.51,0.788148
49521.9,49652.7,5.95,702.15,0.788148
72652.4,81680,54.4,761.67,0.789162
54725.7,63841.7,-0.85,766.32,0.790177
40790.9,37397.2,3.4,356.19,0.791191
57489.1,61198.7,51,749.58,0.79322
49992,60915,16.15,597.06,0.794234
67304.1,61876.6,61.2,988.59,0.797277
