"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
76682.6,42610,23.9145,19.2099,152.163,0.00151755
57585.2,30773,48.4557,61.0061,142.954,0.00216538
77148.5,47549.7,50.6305,28.2548,175.846,0.00998268
75548.8,76720.4,72.3846,65.2986,394.842,0.0176892
117715,94194.1,216.49,43.5071,334.451,0.0197366
35854.4,36960.9,8773.44,15.1168,187.298,0.0216003
103417,68412.4,64.117,20.0021,238.873,0.023775
53274.9,47810.7,58.9554,10.7597,202.085,0.0250562
69357.3,31873.7,11.3353,-6.70982,176.347,0.0259464
90849.6,77217.1,65.1896,0.79209,396.296,0.0275336
66229.8,48082.2,31.9908,32.7445,186.797,0.0387576
80001.4,55668.7,59.5689,45.422,231.702,0.0551389
132790,59319.4,37.5306,6.20487,297.712,0.0578727
68003.4,76920.3,44.1581,9.70352,256.588,0.0579937
60804.5,38143.4,31.5248,18.2856,199.23,0.061105
54807.5,41771.8,41.0514,8.71333,241.711,0.0668381
59832.9,41991.4,78.3977,38.1587,263.236,0.0687367
82098.5,51810.4,55.8085,54.0063,232.271,0.0706802
63143.1,33761.2,44.1581,32.6784,180.143,0.0757346
70691.9,37215.3,32.3532,18.8137,166.024,0.0797839
63661.3,28376.8,38.1002,32.8105,198.516,0.0811939
58971.5,40958.5,355.355,9.90156,165.163,0.0823493
60446.1,44795,27.9525,17.7574,156.044,0.0827806
89039.7,54659.2,67.9464,8.0532,286.593,0.0833255
77345.4,52408.8,46.6434,15.0507,270.796,0.0879674
92552,60017.6,45.0901,8.71333,275.102,0.09002
81275.7,52060.7,56.6371,20.5963,234.472,0.0906665
43809.3,30782.6,21.4296,5.47875,123.632,0.0953485
55621.8,32618.9,41.3621,15.975,162.005,0.0995198
79429.3,32389.7,53.9444,27.3304,206.65,0.100169
108316,87280,153.274,60.0816,465.956,0.10023
106313,95749.7,65.0874,27.9907,410.886,0.10376
57236.6,29831.3,41.2585,30.6977,160.784,0.104005
49204.8,30264.4,24.2251,-11.3694,119.877,0.10412
40110.8,32825.8,76.7678,11.6179,102.952,0.106162
44361,19915.7,25.1569,11.3539,178.066,0.10728
39454.6,30615,35.2525,20.7943,185.867,0.110663
63223.4,40565.8,26.6065,22.3128,200.729,0.110771
106730,63892.8,92.2803,13.7304,275.031,0.112211
89211.6,55905.4,106.831,35.4515,229.713,0.112912
52956.7,31384.3,27.0207,-43.9866,128.612,0.115472
75981.5,55108.1,15.8387,21.9827,252.766,0.11731
65225.6,46925.7,72.5376,59.2231,226.159,0.12069
60792.7,46969.9,17.6505,42.8468,219.758,0.122616
113162,61259,33.1298,26.6702,294.196,0.128196
47238.5,20529.6,5.84861,-0.869792,105.197,0.13029
97055.3,57483.9,11.5423,28.849,230.637,0.131821
53781,40720.6,49.8538,4.68662,147.488,0.139149
73921.6,52359.9,52.1839,8.64731,258.145,0.140155
50657.6,27437.3,26.2959,31.622,151.947,0.160578
77446.8,41085.4,37.3753,15.7769,163.799,0.163248
70396.6,34370,8.38486,6.13886,220.896,0.165843
125564,83471.7,41.2067,27.0003,317.51,0.172068
64389.5,44981.5,42.5012,21.6526,183.864,0.173613
39500.8,25977.9,26.8654,54.8647,144.898,0.178469
63807.4,29180.5,86.844,24.7556,204.796,0.179181
116889,67615,26.6583,6.4029,272.914,0.179532
40776,29089.5,34.7866,7.85517,112.939,0.179817
108574,58069.3,45.0383,24.7556,253.544,0.183167
87198.8,52870,227.303,62.2608,277.007,0.183312
85539.3,56303.6,61.358,41.196,283.846,0.183564
102318,57566,59.7734,7.65713,177.207,0.183733
74763.1,27039.2,64.3724,45.2899,215.486,0.184348
47136.8,34824.7,22.9826,14.2585,117.637,0.185335
91843.3,57665.5,43.6921,17.2953,271.502,0.1875
29278.2,32461.4,39.6535,-2.29874,171.044,0.189313
63658.2,35703.8,47.5755,16.5691,161.072,0.190305
44887.5,50904.6,38.2555,20.9924,176.419,0.191771
47472.9,22315.9,26.503,-7.70387,147.56,0.197689
58784.9,34064.7,16.5635,5.1487,154.319,0.201379
91618.4,72615.7,113.306,49.7801,240.363,0.211541
98676.2,58633.8,55.0318,38.4228,259.913,0.218222
68940.2,35757.2,24.1215,-6.95834,178.925,0.220304
98565.6,36231.1,30.8518,-10.7481,223.955,0.225494
49859.5,49263.2,38.6179,27.7266,209.146,0.22903
99514.9,69520.1,36.288,14.5886,248.516,0.229714
50194.4,23923.9,50.7858,51.1668,127.963,0.236502
64414,47612.7,80.5361,27.6606,325.916,0.239039
56694.9,22707.8,22.7755,15.7769,107.802,0.240757
80520.9,50915.6,31.5248,43.441,215.273,0.240966
70917.4,77722.3,72.3846,38.2907,332.703,0.245667
84565.6,56550.2,68.916,42.1204,217.48,0.246077
73221.3,67871.5,111.537,4.81864,221.608,0.251675
86304.6,42923.1,66.8234,27.4625,203.726,0.2539
49985,28771.4,41.5692,16.8992,167.889,0.254063
31483.2,56896,51.4589,23.1711,152.81,0.255248
52817.2,31151.9,30.7482,10.0336,156.762,0.255609
76046.1,50775.7,59.8757,61.0061,224.453,0.256108
82205.6,50780.8,54.048,6.66695,230.992,0.25629
32925,40084.6,125.827,20.3982,297.853,0.257167
24046.9,54809.8,34.1135,30.1034,323.466,0.260594
107136,56984.6,103.894,33.4707,353.299,0.264006
70957.3,52639.8,36.2363,27.1984,245.398,0.265932
74073,62262.3,54.98,3.8945,282.647,0.266344
50921.5,39148.7,34.8901,76.8848,202.656,0.274773
79974.5,34258.6,32.6121,5.08269,135.319,0.278857
94308,61271.9,50.0091,17.6914,296.447,0.280378
33408.5,22875,11.5423,5.54476,121.105,0.281503
66450.4,54728.6,35.9774,51.8272,254.394,0.28658
55880.5,42009.6,62.3801,21.7846,192.302,0.292228
56598,40953,47.6272,15.8429,163.584,0.295103
77214.5,37371.2,46.6434,22.3128,188.871,0.303018
99863.9,49387.3,49.2324,38.885,233.194,0.307347
48568.4,25553,33.6993,34.6592,158.917,0.314851
47411.9,28978,53.9962,49.7141,130.848,0.322968
52002.4,31157.8,49.3877,2.31028,175.631,0.330484
90410.2,38021.5,44.0027,-4.53534,169.108,0.330631
52735.3,23484.4,53.9962,11.5519,140.722,0.334064
39273.5,26216.9,4.45111,14.5226,71.3216,0.336936
63917.8,62567,17.0811,23.6332,265.357,0.337255
44996.9,44317.9,19.6177,27.0003,193.302,0.337427
71175.8,53716.9,47.3166,27.9247,260.337,0.339775
72549.7,32995.4,36.0292,30.1695,174.269,0.350751
34917,55074.8,77.5828,23.5012,231.773,0.354236
