"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
86416.6,44966,15393.6,4.95066,258.215,0.00319663
61228.1,31845,66.6192,0.462052,137.625,0.00484478
48013.3,35798.2,45.815,27.1324,109.539,0.0119344
101584,45042,52.3392,28.981,262.105,0.0186696
51068,33714.4,39.4463,11.0238,124.066,0.0406162
93660.7,44962.2,30.1787,1.6502,279.264,0.0484387
83724.8,40933,21.7919,3.56446,211.355,0.0583594
94213.7,63462.6,38.9804,39.7434,306.706,0.0586432
114985,69874.5,127.641,70.1855,429.917,0.0601148
93983.6,50901.9,46.281,6.07285,280.11,0.0623676
90674.9,71438.7,51.6661,14.1925,387.707,0.0643714
80583.5,53350.3,55.3943,34.4611,326.336,0.0655275
112749,70921.4,92.128,45.1579,350.789,0.0672604
76699,54825.2,107.742,47.1388,294.336,0.0673814
55492.1,32796.4,226.513,42.1865,180.858,0.0685661
76205.2,48554.8,30.1787,34.7252,240.079,0.0689625
62757,46064.6,28.8327,24.8876,174.413,0.0700954
104440,43511.2,36.5469,25.7459,240.363,0.0727149
81126.9,35629.3,44.3652,13.5984,214.276,0.0731145
96899.7,56274.9,39.9123,46.0163,304.951,0.0736605
75140.3,54626.7,77.0734,71.2422,348.278,0.0742076
48991.8,39152.6,154246,36.64,201.514,0.0767227
72615,67337.7,44.2098,30.7637,421.305,0.0783783
56333.2,80326.8,63.3508,20.9264,386.459,0.0805479
81600.8,54462.8,44.0545,36.1778,240.15,0.0823712
101015,65091.5,73.5573,36.9702,405.635,0.0851558
96288.9,48841.7,14.3376,19.4739,204.511,0.0886583
52685.3,55270.5,13.0435,39.0171,269.031,0.0920952
87535.2,41331,16.0976,13.4003,158.127,0.0929999
24131.5,36428.3,100.601,15.1828,333.962,0.0966366
78728.6,57915,93.1435,39.9415,312.251,0.0984737
70402.3,37944,102.78,32.6124,266.417,0.100219
72320.7,43060.6,25.0534,18.7477,261.681,0.102193
87660.7,44471.3,64.5257,21.1904,255.456,0.106368
85732.2,41915.8,61.818,7.78915,198.088,0.107122
63139.5,40770.5,40.0159,-0.062128,170.327,0.107257
127402,81476,80.1798,7.78915,417.236,0.10927
31968.1,21141.5,16.4082,14.7207,130.271,0.11284
71924.8,41188.3,49.4395,43.9693,247.028,0.115117
64682.6,34708.8,19.5141,44.4315,210.428,0.115726
83177.1,37832.4,12.6811,9.70352,200.301,0.118274
114370,93343.7,99.7895,51.8272,448.89,0.120701
58629.6,28565.7,55.705,35.1874,152.594,0.123042
49718.2,35717.4,75.0863,-0.745536,177.278,0.125277
94824,38585,48.611,30.4996,236.957,0.1415
65903.4,29550.9,21.8955,4.81864,144.538,0.143776
40676.8,27607.4,34.1653,24.7556,86.1299,0.143986
88318.1,44805.7,58.802,27.2644,204.083,0.15396
112762,55959.6,36.6505,17.3613,328.086,0.160063
40737,28400.1,32.5603,33.7348,143.098,0.171918
100152,53038.6,45.1936,32.0842,232.484,0.173464
82891.7,53704,46.7988,74.5373,255.739,0.177274
85548.3,61665.5,84.0472,37.7625,313.163,0.177501
78463.9,39600.8,45.5043,22.0487,281.52,0.181781
95772.2,76752.7,36.1845,54.6666,400.172,0.187604
111934,48204,46.6952,35.7156,224.168,0.191318
81495,33977.5,44.0027,22.907,190.515,0.194844
105553,69993.1,32.6638,13.2023,240.505,0.196082
53402.2,32327,36.4951,12.5421,157.912,0.197401
58891.9,37534.3,51.8214,5.87482,210.999,0.198599
84682.2,45771.5,31.7319,19.0118,208.504,0.199115
31152.8,23682.4,42.9154,42.5166,104.473,0.199666
103070,66771.8,97.1525,58.0345,297.501,0.200919
73578.1,39866.1,31.266,25.4818,189.729,0.206007
55097.1,38658.6,149.363,-16.0912,146.697,0.20963
56841.1,40056.9,50.4233,34.5932,197.517,0.210265
95995.9,53472.9,160.035,32.5464,251.774,0.213041
86708.3,66897,75.1373,60.0156,363.119,0.214035
63811,34574.5,18.427,-14.7865,202.371,0.217188
59348.2,24098.2,76.1055,38.4888,163.584,0.217296
55216,33924.6,19.4624,-10.1269,233.407,0.233962
104347,44957.3,77.7356,30.6977,187.155,0.23686
54842,35621.5,33.4404,22.3128,182.791,0.239557
54680.3,41068.6,47.8344,25.4158,211.07,0.240429
81450.9,47124.5,58.9554,38.4228,197.231,0.241045
72541.9,65995.2,997.273,41.7243,264.933,0.241085
75010.9,38744.2,14.1305,6.00684,216.483,0.2459
41653.1,30254,26.503,18.2196,103.893,0.250895
119688,45484.1,53.1677,28.981,282.436,0.258251
115531,61018.7,77.5828,58.1005,349.046,0.260362
52103.6,54367,74.6277,62.3929,175.344,0.267915
92320.7,37807.7,10.6106,44.5636,152.954,0.270369
39032.8,25070.6,34.3724,48.5255,133.3,0.272635
100786,65834.8,40.9996,40.7338,337.247,0.275924
74982.7,41693.3,211.346,34.5932,234.756,0.277035
75099.8,61590.8,25.6229,32.6124,279.969,0.279974
93932.9,67407.5,40.8961,47.601,290.255,0.281325
44724.2,32085.8,42.9672,85.159,197.731,0.283778
108283,60876.7,104.249,104.985,385.557,0.283848
58112.4,53848.7,548.568,27.8586,201.443,0.286591
98172.7,70024.6,224.935,27.8586,362.005,0.287195
121531,89003.7,78.5505,70.0534,469.446,0.289461
72479,39967.1,-1.60756,11.5519,166.956,0.296453
43224.4,42146.9,92.9404,29.5092,241.994,0.298583
83212.8,64073.5,41.7763,20.2662,278.911,0.299416
69425.8,46428.2,89.8932,-10.8724,228.576,0.304638
46257.3,34824.2,18.7376,32.2823,140.362,0.313243
118334,70819.2,63.2997,29.9714,305.934,0.319556
84701.3,43800.9,28.1079,10.2316,182.862,0.320197
103588,48768.5,43.2261,6.07285,232.91,0.320715
75081.7,34780.8,58.802,26.7362,200.23,0.320806
67570.3,63713.1,75.5959,60.9401,269.878,0.322147
126536,79191.7,62.9932,12.4101,325.496,0.323818
32631.8,22989.2,30.2823,-17.5822,97.0835,0.32502
114470,70481.5,90.0456,51.2989,425.509,0.330174
117695,57000.5,37.4789,21.7186,332.074,0.332181
41971.7,21726.1,43.7438,-1.61533,108.092,0.33456
106088,72752.3,468.939,21.3225,345.278,0.334809
96039,37116.4,60.898,72.2988,241.427,0.336378
83971.3,53181.5,75.9526,23.8973,214.632,0.337062
46068.8,26653.7,26.8136,-24.292,126.52,0.339372
52833,27602.7,39.291,31.8861,124.571,0.339821
40215.4,37624.2,7.03908,9.43947,145.113,0.341223
135335,67372.5,52.857,13.0042,398.857,0.34405
63933.1,36406,16.4082,-5.84003,138.777,0.345005
57135,26610.8,25.2605,25.6139,127.314,0.345127
122649,82890.9,58.2394,8.11921,434.597,0.346312
97655.4,50287.8,15237.8,80.8604,815.796,0.347394
54843.9,50149.3,35.5632,15.3808,249.012,0.348462
29945.5,25879.1,176.023,27.5945,137.769,0.349432
108197,36698.5,274.197,4.81864,246.532,0.350207
106352,73737.9,97.5583,40.8659,304.529,0.350384
77163.3,33175.4,31.939,27.1324,279.546,0.352103
43538.3,30184.4,37.22,33.0086,164.373,0.353064
65180.9,37173.5,40.7408,14.3906,144.034,0.353983
104313,55693.9,180774,4.48859,219.758,0.354263
72106.8,80465,89.6392,53.7422,337.666,0.355248
44754.5,35286,35.2008,19.3419,183.864,0.383074
116078,63687.5,51.3036,34.9233,309.865,0.387017
51761.4,44962.5,81.1469,34.4611,209.502,0.388294
47058.4,28287,26.6065,49.45,153.241,0.392457
82747.1,43924.6,76.1055,63.9118,287.016,0.400189
70620.3,65254.9,50.0609,34.197,202.371,0.402674
93119,56070.9,353.679,43.441,295.04,0.405636
88896.2,94397.3,57.6727,20.2662,409.297,0.406694
71699.1,45327.1,27.3313,20.4642,146.84,0.408056
85582.7,31959.9,41.5692,12.146,222.959,0.409758
53861.9,50231.8,27.176,24.8216,217.836,0.410709
32592.3,19922.9,26.503,33.9329,106.572,0.414726
72447.8,45234.4,56.0157,45.6861,233.265,0.41502
122520,66800.7,102.83,33.4707,348.418,0.417901
121866,73680.6,54.5658,41.5262,328.436,0.41914
86171.1,37353.2,69.5283,19.3419,254.465,0.42102
100330,37714,147.908,1.78221,223.315,0.422073
95393.3,51450.1,44.9865,12.6082,304.599,0.423835
83762.8,43429.2,18.1164,68.2704,189.8,0.424784
59037.9,41742,58.1372,28.0567,184.294,0.431934
78214,100091,146.151,62.3929,411.921,0.432233
82403.6,50348,103.084,19.2759,222.604,0.43841
46543.1,27838.6,16.9776,11.6839,161.215,0.439137
77185,52571.1,29.661,7.45909,252.907,0.43967
97144.5,54876.5,24.018,25.3498,284.832,0.448551
41223.1,21045.3,75.0863,75.6459,74.7781,0.449666
62712.1,31160.5,22.0508,30.8297,167.889,0.454701
69486.2,53832.2,57.6209,38.2907,260.903,0.455725
39487,30045.6,19.5141,67.4118,111.781,0.456458
58349.4,34370.4,74.6277,1.25415,201.657,0.460311
95965.1,49650.4,45.2972,9.90156,282.507,0.46152
62092.5,39249.1,26.8654,10.5617,157.265,0.46306
82505,39561.4,39.6017,10.9578,216.341,0.467846
91371.1,40261,19.6694,15.975,192.445,0.47583
73166.9,28529.1,37.3753,-5.71578,153.96,0.479384
59011,44573.4,52.0285,14.7867,249.154,0.487209
51008.3,32261.5,42.1387,31.3579,206.722,0.489558
76954.5,51295,67.8443,80.4695,268.607,0.489865
49794.4,42038,33.3369,15.5789,213.35,0.492499
84276.5,51357.9,68.5588,25.2837,223.03,0.495026
60327.7,67057.1,57.728,17.2953,242.349,0.495186
93745.3,75909.9,62.6866,63.0533,517.14,0.498212
99232.9,60115.6,27.6419,29.5092,259.63,0.49879
48013.5,50615.9,27.9008,11.4859,196.231,0.499066
64654.4,42634.1,124.264,47.1388,194.588,0.502323
