"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
86826.6,36625.8,39.0839,34.6592,166.956,0.00108297
47024.1,36362.4,66.9766,35.1214,148.207,0.00254357
43102.6,32928.9,49.9573,60.4778,179.212,0.00349081
57134.9,38006.2,7.97077,5.01668,148.279,0.00829774
57969.9,34063.4,52.7017,4.75263,149.646,0.00846342
118611,76152.6,38.2037,48.0633,419.926,0.0130805
58723.4,56059.7,27.4348,22.0487,176.347,0.0136036
61870.5,30965.6,6.78028,9.50548,201.942,0.0168323
35370.6,27005.8,92.0772,0.462052,119.01,0.0212992
86838.6,49973.3,51.5625,23.5672,257.013,0.0241352
40687.9,21973.7,27.0207,29.9714,101.648,0.0251336
113905,44525.4,42.3976,67.4118,230.637,0.0254001
76264.9,26302.9,51.6661,-2.60938,130.921,0.0264107
106978,49046.4,28.8327,-5.65365,284.832,0.0291224
64433.6,40546.8,77.0734,40.9979,187.298,0.0319175
77206.8,60109,55.0836,65.5628,331.095,0.0352031
89266,50736,29.0915,31.2919,256.8,0.0380051
93731.9,52607.1,26.3994,21.2565,215.201,0.0432419
73286.7,44048.8,18.427,52.4875,177.421,0.0435759
74069.2,30248,15.3729,10.8258,149.718,0.0455485
69131.4,29776.2,23.5521,-3.85194,157.84,0.0513775
76590.2,49127.6,27.176,32.1502,239.582,0.0555647
70081.2,38170.4,5.64157,18.0875,250.641,0.0561923
71367.4,41028,25.5193,12.3441,251.845,0.0589852
98819.6,63260.3,28.2632,26.01,283.916,0.0592582
33688.4,36611.4,23.9662,-6.77195,223.884,0.0594298
58183.7,51627.5,85.2678,-2.6715,225.093,0.0652657
78264.4,69386.1,59.7734,50.7706,309.023,0.0678099
35274.3,29453.9,13.2505,13.9945,169.395,0.0699255
83433.5,45249.2,26.4512,30.7637,215.415,0.0709609
48540.9,30795.8,56.0157,37.7625,176.06,0.0729976
53081.5,36658.4,44.9865,-0.869792,209.644,0.0753893
68109.7,44603.2,20.653,17.4274,214.204,0.0760832
37988,32399.8,36.754,19.738,145.257,0.0768054
104218,66798.4,59.7734,80.3391,405.22,0.0769833
66405.7,40735.7,45.5561,38.885,190.873,0.0792694
59902.1,45095.1,52.9606,27.0003,235.892,0.0818341
86750.9,64078.7,4.91694,-1.92597,202.299,0.0828007
60010.6,28531.1,34.5795,16.239,110.841,0.0828515
97477,70836.1,54.4104,20.4642,283.564,0.084009
73560.3,55142.7,53.4266,19.738,242.42,0.0840997
103447,46860,44.2616,21.5205,353.368,0.0848548
61449.5,35298.8,19.7212,59.4212,198.731,0.0873622
82806.5,63349.6,55.5496,86.9166,369.032,0.0931056
91022.8,56626.6,38.0484,38.0927,334.172,0.0932075
85515,44781.6,22.1025,29.3112,204.368,0.0940072
131005,74827.1,93.1943,70.7799,359.43,0.0975513
72998,50241.5,43.1225,15.0507,245.965,0.12052
101577,46144.4,22.1543,24.2934,241.569,0.124418
101413,56924.7,65.2406,23.3691,248.799,0.130018
50933.1,31664.5,20.8601,26.3401,189.3,0.151746
42586.6,24306.7,34.0617,4.35657,95.5612,0.167994
67198.2,35699.5,17.4435,20.2001,132.579,0.184194
19415.8,19983.3,32.3014,4.95066,87.3639,0.18576
45920.1,25705.7,29.7646,12.08,116.047,0.188704
64901.6,44380.1,37.4789,11.75,140.65,0.189405
65544.5,50252.6,3.36419,-17.3337,193.66,0.191773
84318.3,49834.5,45.349,23.5672,277.359,0.19421
63941.2,39162.3,26.7618,-5.21875,168.534,0.195031
115636,59821.3,16.0976,53.6101,320.173,0.19996
103070,49324.8,45.5561,25.6139,224.737,0.200359
98629.3,47988.8,23.2932,20.6623,200.729,0.201979
42205.8,21995.8,18.6859,-6.70982,92.3705,0.202228
39008.3,38572.6,57.9316,15.3808,187.441,0.205243
48694.6,36824.9,14.2858,11.1558,135.319,0.205913
88362.9,43035.4,12.7329,4.15854,181.002,0.207899
89401,38580.9,15.7352,24.2274,206.936,0.211775
20902.5,38819.6,229.324,-7.95238,348.278,0.213985
37793.3,35062,-6.67382,0,155.541,0.219732
43591.3,25640.5,28.5738,-1.67746,90.6295,0.223596
69872.2,43390.5,26.6065,5.1487,182.648,0.224023
106722,55997.5,45.1418,39.1491,237.028,0.226712
134272,62789,37.3235,18.9458,298.837,0.227021
65974.9,52260,54.0998,30.0374,206.365,0.235837
72942.4,36141.8,22.2578,30.2355,212.851,0.23693
72393.8,37412,43.5885,37.6965,143.386,0.238873
64734.4,31721.4,8.38486,9.50548,150.94,0.239065
75179.5,45555.3,58.1372,40.9319,243.625,0.239196
57769.3,35192.3,58.802,74.6025,234.756,0.240989
114285,55156.7,26.3476,29.5092,262.742,0.242201
94874.6,53649.4,43.0707,12.2121,235.892,0.245399
78417.4,49170.8,37.1164,39.3472,250.074,0.249161
51932.3,34021.7,38.5144,20.2001,137.552,0.249794
127038,84672.2,83.742,68.7326,377.855,0.253
100118,60915,53.2195,53.6761,270.372,0.256751
111607,91334.3,79.9762,44.7617,357.549,0.258111
