"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
83638.9,53025.8,42.087,20.6623,233.904,0.0159896
55271.6,22974,20.7566,16.7672,139.93,0.0198801
18614.1,25049,30.3341,7.19504,109.177,0.0298103
91457.4,57062.1,44.5205,12.8722,320.314,0.0311405
60354.4,26812,33.2851,31.2259,139.93,0.0324867
78374.6,73763.1,62.2779,39.8754,328.226,0.0330726
90213.6,71100.1,45.8668,0.0660073,257.649,0.0347756
89540.6,67199.3,45.2454,13.5984,306.777,0.0481166
88747.1,55779.8,37.0129,0,248.516,0.0537888
63677,68597.3,68.5078,55.4591,340.74,0.0577766
61993.2,47239.6,46.3328,4.02652,253.757,0.0578263
51913.5,27804.2,31.7319,25.5478,140.794,0.0606697
80986.9,53878.1,26.9171,-3.23066,216.626,0.0928192
29005.5,30161.3,12.4741,12.146,166.526,0.102675
89299.5,51109.8,24.4839,8.77934,248.303,0.105355
53563.4,33350.1,47.8344,29.1791,183.65,0.113006
23482.5,45134.2,58.6485,35.7817,238.589,0.121301
49052.6,25815.4,32.8192,5.61077,159.564,0.124084
102457,58780.5,44.9865,27.4625,295.814,0.13159
89693.4,65206.8,52.8052,84.9637,331.025,0.133835
70038.7,43274.4,14.4411,0.198022,198.374,0.135145
90503.9,45049.6,27.4348,2.77234,225.519,0.138612
73531.6,44274.1,44.3134,20.0681,224.951,0.146138
61522.7,39636.8,59.6712,22.0487,218.049,0.148485
53843.6,55112.1,62.2779,63.6476,233.194,0.171202
68855.4,34883.7,36.4434,42.6487,157.624,0.175946
54505.5,42138.6,29.5057,22.7089,170.614,0.186847
89733.7,35142,29.4539,39.8094,216.626,0.191283
80728.4,51013.6,30.0234,16.3711,221.465,0.191554
73318.8,47899.7,13.5611,-7.26898,176.275,0.192809
87969.4,83038.8,45.815,45.3559,394.704,0.193951
64062,49691.6,35.149,17.8895,231.844,0.196344
55972.6,60094.5,28.0561,28.3208,214.489,0.201072
102187,67059.3,41.8799,13.5324,280.885,0.202584
79167.5,57405.1,29.5057,17.5594,271.996,0.205044
92417,49603.8,42.087,27.4625,244.547,0.207633
76460.4,42562.8,46.3328,50.7706,207.078,0.209257
113747,68106.7,37.6342,33.999,267.83,0.210226
91051.4,48593.7,35.2525,53.9403,235.75,0.212175
97646.4,69804,41.621,-0.186384,311.479,0.213201
73050.5,45688.8,21.3778,21.5205,225.59,0.214909
28829.6,37298,21.2742,21.1244,212.78,0.217885
122068,68720.3,37.4271,26.2741,297.572,0.21813
72029.5,54370.2,69.4263,9.1094,309.795,0.218251
77353.5,42476.1,25.5193,14.5226,284.973,0.221567
67909.5,51878,8.85071,16.6351,237.95,0.223555
32105.4,37285.3,28.7291,7.59112,178.066,0.22495
34331.9,21368.2,32.9745,5.47875,76.6167,0.225515
90672.6,70546.7,83.7928,40.8659,357.201,0.227957
119491,66090.8,36.4951,28.1227,309.935,0.22962
123151,85398.9,89.5375,27.9247,414.269,0.230425
37376.4,26343.2,28.2632,21.6526,122.549,0.231546
98808.5,63345,21.8955,69.7893,301.93,0.233048
87460.7,72918.6,46.8505,50.5065,332.074,0.233105
92468,46069.7,67.9974,86.0704,305.442,0.238866
79223.5,59689.9,43.3296,11.2879,293.281,0.247275
27450.6,29991,22.2578,-3.23066,178.567,0.258876
77622.8,34232.6,47.9379,-0.869792,193.588,0.26305
60624.8,41442.6,49.2842,87.6326,234.188,0.268432
65032.1,44533.2,37.1682,14.5886,224.026,0.277493
66249.5,35042,23.7074,2.11225,148.999,0.27768
88147.3,43023.6,63.5552,19.804,285.255,0.277994
86311.6,68087.5,35.2525,22.3128,356.017,0.279238
109978,70107.2,61.818,25.2177,241.852,0.283747
118595,62902.3,26.0888,34.4611,279.969,0.284196
93201,58815.6,71.6197,21.9827,345.278,0.298389
64016.7,39508.5,44.2098,22.0487,147.2,0.301862
96596.1,52461,37.0129,4.5546,261.115,0.302388
54673.3,42173,53.3748,27.9907,182.934,0.303808
62935.1,29137.4,19.5659,14.1265,132.002,0.303908
51027.8,28711.3,28.9362,3.82849,137.913,0.312683
67558.4,33977.2,27.9008,6.79897,167.1,0.318222
66066.9,45258.7,68.7629,19.4739,200.301,0.318272
79202.9,55982.1,78.0412,10.7597,218.619,0.318461
37682.1,66125.3,35.2008,17.4274,322.765,0.321053
52154.2,37630.6,11.8011,-12.9848,176.275,0.324461
135411,63684.4,50.4233,12.8722,333.123,0.33533
59698.6,28740.2,34.9419,21.5866,151.947,0.339279
59983.2,39345.3,71.1607,7.12903,187.155,0.341434
63598.7,27396.1,51.7696,17.8235,195.303,0.346203
84787.5,42049.8,10.6624,6.07285,170.184,0.349108
41301.1,27387.5,26.7618,16.041,137.841,0.349544
73061.9,62625.2,32.8709,24.5575,292.577,0.349869
32453.1,14102.7,20.7566,0.726083,81.5442,0.354281
75215.1,47416.5,43.1743,48.7896,227.51,0.356079
47878.9,37251.9,27.2277,21.8506,161.861,0.360122
57894.2,43606.8,36.754,33.3387,129.911,0.361407
38878.8,49664.5,35.3561,40.5357,194.017,0.366077
97619.8,63011.9,23.0344,14.1925,310.076,0.373993
98068.8,50288.6,40.3783,36.442,301.157,0.374037
34660,27128,16.3046,12.7402,142.45,0.377881
21399.5,12939.5,8.17781,16.4371,76.8373,0.383858
45361.1,48133.1,46.9541,52.6196,239.441,0.384547
79192,59652.3,45.1418,35.3195,295.11,0.386738
55667.9,29164.6,65.8023,28.4528,165.593,0.387265
67970.6,36865.4,7.45316,45.0258,212.424,0.389836
34233.8,19596.2,35.4079,25.6139,130.632,0.395071
59165.7,39495.4,38.2555,-1.24256,166.239,0.395581
127953,64003.8,45.7114,40.6678,307.619,0.398152
40518.7,25838.2,13.1988,19.2099,150.797,0.398968
79024.9,32521.4,20.1871,25.8119,155.182,0.399134
50476.3,37076.9,61.6136,14.3906,180.572,0.404592
