"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
134393,76642.8,48.5075,18.5497,364.441,0.00407439
79781.4,51692,8.85071,12.8062,216.91,0.00424734
44454,30982.4,56.4817,9.83555,214.204,0.00570459
44028.5,22682.4,15.4764,21.5205,152.45,0.00581224
47383.9,24735.4,49.2324,29.7073,146.84,0.00715086
48813.4,38640.6,25.2605,6.20487,153.169,0.00798887
100980,48387.3,25.6746,14.2585,152.019,0.00838926
102070,51454.9,57.9326,8.71333,313.163,0.0112007
50935.4,28672.5,40.223,26.2741,173.624,0.0122048
101092,66888.9,53.1159,20.0021,310.707,0.0139668
113510,78913.7,109.918,121.122,483.521,0.0146329
65088.3,38712.1,39.1875,38.3568,169.108,0.017492
107225,49398.5,72.7415,76.1024,257.72,0.0175348
45991.9,27316.9,24.3804,-10.6239,97.8807,0.018896
84855.9,63138,55.1354,75.9068,313.023,0.0202485
56071,29281.6,37.1682,47.2048,161.359,0.0208933
96419.7,69599.1,62.7888,41.9223,331.374,0.0226465
59403.4,38644.2,49.8538,19.2099,194.66,0.0228309
54755.2,51118.7,26.8136,24.4915,168.104,0.0231481
44410.4,25630.5,21.1189,49.648,96.1411,0.0235714
67601.4,53909.5,25.0016,39.6773,194.874,0.0245811
47786.3,21416.3,52.7017,81.7073,198.088,0.0249701
71812.6,37428.2,37.4789,17.0312,170.829,0.0267602
75846.7,33365.5,29.6092,12.6082,149.071,0.0273638
58274,34413.8,51.4589,57.11,204.582,0.027386
65076.3,39402.6,39.0839,12.8722,230.353,0.0313706
91813.2,57999.1,41.5174,8.51529,273.832,0.0320906
95346.8,49275.1,59.0576,34.3951,278.558,0.0374959
35120.2,19202,23.0861,24.6235,71.4687,0.0452433
95957.4,31890.2,63.9638,16.041,211.925,0.0460427
70326.9,45669.4,35.4079,8.18523,200.586,0.0475333
59252.3,42741.8,62.6866,18.3516,228.505,0.0524939
101166,58011,61.9713,91.6012,474.301,0.0572224
52915.1,37161,33.544,2.77234,184.294,0.0605538
51479.1,44357.1,38.4626,-2.17448,156.188,0.0633581
31963.7,47680.2,50.2162,-2.54725,189.658,0.0653933
100595,70176,63.0443,32.7445,428.54,0.0660064
66346,32644.5,13.7164,1.12213,153.025,0.0785207
83903.1,41275,68.967,10.8918,221.394,0.0871662
78578.4,46123.7,46.8505,14.9187,268.324,0.0891436
56410.6,37033.6,78.3977,20.5963,188.085,0.0906845
44284.2,36195.7,27.7972,17.4274,158.486,0.0952391
