"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
46.4565,113.804,-33.7328,120.345
10.8706,94.6318,-21.9998,88.1369
38.6725,77.6003,109.692,102.698
11.9742,63.6466,-6.03465,62.8668
32.044,66.7084,8.78312,60.1719
25.4614,45.5956,-57.0638,12.5889
47.8747,131.354,55.0089,102.769
38.8788,76.4044,76.2013,55.4296
13.5909,54.589,-68.9441,47.5295
20.7654,54.589,-12.5804,65.774
24.5623,97.3297,24.0924,106.395
25.0382,75.0193,-9.94647,83.9519
54.8229,111.739,34.9479,73.3372
30.8272,123.679,76.6102,116.254
30.4875,98.3959,-0.607501,87.0465
11.855,86.3421,-52.3078,82.2047
82.6533,125.115,25.3056,121.92
2.74364,71.4292,-74.3127,78.4516
32.0145,94.0669,41.3108,87.7847
2.89136,54.4614,2.623,80.2911
13.2278,87.4732,-110.658,75.6996
-3.6838,71.0461,-77.0648,42.8182
8.09346,70.153,29.6597,74.2167
20.5327,59.8832,-29.8493,67.2945
41.7628,54.7803,-12.7445,51.4744
9.03268,60.3297,0.777988,91.5526
26.3011,71.3662,3.33125,53.1704
27.4593,65.5602,-19.9582,82.7087
66.3269,106.919,117.869,161.454
32.1611,78.0409,84.981,101.928
62.3861,29.0772,-64.884,46.6357
26.3673,77.915,-50.1247,70.1534
26.588,71.7442,-53.0484,100.405
31.7208,94.0669,-73.5754,83.9051
-12.9377,61.8606,-37.4366,51.7192
27.5552,143.565,79.2931,114.65
65.1527,75.6489,265.855,141.783
51.2318,65.8154,101.996,88.8754
30.5509,49.3587,125.996,73.9214
17.5005,34.6256,2.48905,75.6007
32.3362,42.2152,-72.1015,76.3944
23.6039,44.4475,-22.1447,91.1785
37.5319,102.095,-67.8293,125.959
19.7348,96.8278,11.6161,28.1585
6.06718,70.153,-3.96179,74.2308
37.0414,105.729,35.1799,125.692
54.4404,113.366,90.6793,128.006
13.1433,152.208,-98.8905,103.352
4.46985,49.2949,-161.983,87.4328
30.2197,104.602,-33.5245,98.5445
23.7421,122.617,159.487,124.499
29.2773,42.9806,-11.8329,69.3735
19.0931,199.734,54.8879,81.2
7.40972,48.0831,-136.516,83.2578
12.5038,88.4156,32.7858,119.635
3.76735,34.4981,-69.0936,43.8015
15.2209,84.4565,9.52943,134.163
5.44954,70.3444,-0.607897,51.5905
16.8596,82.7589,-9.18473,92.0421
9.39337,94.5063,-43.4828,63.6443
17.03,135.344,63.1463,36.5986
15.5826,130.793,62.5629,112.225
8.10799,62.8811,208.973,78.6868
36.9373,89.2323,37.2821,125.083
42.0655,120.993,65.7777,96.9662
38.0604,72.3742,53.9263,115.932
51.2215,133.724,102.877,126.54
10.3819,50.5706,-31.2878,38.9921
44.7435,139.58,35.3707,103.742
9.46288,40.6845,-31.6662,49.8365
44.4018,135.843,99.916,166.046
14.2533,90.5512,-38.2192,89.5426
15.0993,58.2247,-140.269,32.0563
28.2686,32.9037,-24.1141,96.247
41.8176,63.0087,-22.2946,124.508
29.049,48.4658,-9.84916,82.5613
107.564,138.459,212.127,136.354
21.5764,53.5046,-86.5806,66.942
74.0772,53.5684,64.7869,110.323
33.5381,75.6489,2.99408,76.7359
86.9672,106.23,45.5391,151.141
47.8132,56.8214,-84.5344,103.517
41.5912,122.804,56.588,100.979
26.282,93.251,3.43691,67.4614
47.7518,94.5063,98.0199,134.678
27.3945,94.318,90.6748,120.343
11.3669,86.2793,-46.4085,106.012
126.564,295.297,831.254,70.3495
44.8707,131.978,-4.80283,156.555
32.6995,53.5046,40.6576,84.7156
15.7082,94.569,9.58302,104.352
114.545,71.3662,-34.035,69.0528
43.5701,85.5251,2.49286,88.0442
2.54723,57.2679,-57.6704,15.0959
13.5398,97.706,-1.96635,95.8061
34.5552,94.0669,141.502,85.4518
24.4268,102.346,-18.8877,42.3453
31.8404,97.5806,-9.34138,101.047
21.9157,31.6919,-156.775,29.2476
5.40307,97.016,-82.264,81.0914
54520.1,1688.86,118.183,128.756
-25.0723,58.4161,46.0716,60.0195
9.909,71.9962,89.0265,128.047
94.7815,97.0787,-36.0439,65.7392
