"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
5.35218,98.4586,-17.7968,86.7458
6.05334,95.5103,19.5995,94.0224
18.3577,119.243,1.25669,95.9764
26.6709,71.8702,-52.6705,97.2779
11.7811,71.3012,-90.3394,47.8183
13.5861,87.7246,111.763,60.2321
13.2153,59.5004,27.4853,71.0049
-5.78158,34.1154,-104.231,64.0267
54.6654,177.691,230.391,176.052
25.7402,72.2482,24.056,78.9724
36.3972,103.724,28.2191,81.6241
45.031,120.243,51.1624,120.491
25.3898,35.3909,-41.4185,50.9677
17.4868,43.1081,-93.9424,34.5246
24.5765,61.8606,-6.21493,80.4801
28.3035,45.7869,-96.6096,55.8488
10.4574,88.0387,-6.21218,79.2839
10.0731,90.4256,35.6156,73.3053
51.043,114.93,117.797,103.766
19.2065,58.4799,6.02152,38.171
36.3224,117.743,75.7035,89.9326
38.2955,91.6815,45.2195,108.064
46.5041,153.762,66.2559,115.06
5.99827,72.8151,87.3476,100.141
24.1232,104.414,-29.5939,51.7359
23.4816,183.751,202.916,171.704
19.1555,107.295,16.4091,110.776
16.9927,61.8606,-30.2657,95.51
18.7315,85.8394,65.6514,72.6923
10.0769,59.5642,6.0702,-0.13549
56.3264,97.2042,200.576,137.591
61.3157,61.6692,24.0148,123.491
48.8159,85.3994,40.1303,126.015
-6.37699,52.8668,-47.1633,44.2867
17.0545,63.7742,-33.9028,52.1306
12.9676,71.5552,78.1859,116.786
61.0825,95.3848,70.8943,101.318
38.0671,83.3248,118.479,115.187
13.4458,103.912,-62.3868,100.157
28.9898,68.048,14.7811,76.9702
48.549,79.4252,-43.0288,82.6292
22.9225,83.3248,-53.5171,51.2611
27.0835,103.286,50.4857,51.4391
0.402576,66.7722,-35.2586,83.0343
6.255,114.617,89.52,162.883
35.9654,53.1219,-30.3777,50.4794
23.3189,124.365,143.556,153.271
22.6415,62.5622,18.0426,76.3932
3.69527,70.0892,-43.1677,51.8099
4.59898,104.351,11.0468,60.9164
35.9257,98.8976,20.5728,127.932
32.7664,120.243,122.244,150.307
22.1906,62.1157,32.7625,83.9037
13.642,113.929,41.6289,96.6213
32.9555,137.338,391.071,98.8651
29.559,75.4601,8.0994,92.8376
10.3137,71.3032,46.985,58.7362
17.6863,76.2785,-2.13101,61.0319
19.386,92.4349,28.3203,115.588
16.4249,148.355,49.559,85.5787
32.1928,94.82,-78.1237,80.1542
46.393,75.8378,87.039,90.8829
23.7751,106.105,39.5019,120.843
10.8445,61.5416,91.9456,48.4462
19.9662,94.1925,41.0111,93.721
24.6395,51.5273,-16.9904,73.4794
6.65097,39.4089,-70.7209,33.7031
20.6649,119.806,-60.9708,83.0288
17.093,86.782,-2.98624,78.283
56.985,142.32,192.555,180.063
35.2407,114.679,3.03019,106.66
32.4025,117.931,67.1677,166.399
34.8679,61.3503,62.5907,123.744
70.5757,104.414,40.5254,163.509
65.1648,19.384,33.7556,62.3564
30.9848,56.056,28.4752,74.4016
24.8167,80.2431,32.0791,108.565
43.715,151.463,53.8388,138.895
30.0067,58.4799,-10.7362,67.4353
19.0991,24.358,-71.3947,56.1894
39.2801,126.301,98.4062,120.395
2.19077,89.4207,-74.756,66.8706
46.1949,121.243,114.521,143.333
41.0762,106.794,71.2961,127.761
20.14,63.7104,-17.5523,98.7509
34.4606,107.733,-12.4222,102.048
11.7573,130.294,-10.0641,166.073
16.7817,62.3071,28.0972,82.4428
22.3792,55.5457,-68.0491,56.8568
36.9078,58.5437,-58.5699,43.1554
20.2273,73.382,105.019,82.9637
12.3325,44.2562,19.7792,47.4003
6.37786,108.985,82.7992,137.063
22.4464,60.9675,-54.9142,79.8134
15.3912,57.2042,72.0697,72.6467
1.00824,77.5374,-33.1067,52.2429
46.063,62.3708,-34.2095,72.7772
21.5158,69.3876,71.9585,49.338
25.176,78.0409,2.42912,74.7185
50.1603,74.4526,-56.9016,55.7648
49.2161,69.7065,-191.093,69.3721
25.6215,60.9675,39.539,61.7357
39.5163,81.6898,-56.3828,118.497
43.2261,51.0171,-34.3186,71.4852
66.26,114.367,17.4771,156.877
34.5294,137.836,62.8172,130.918
24.3909,122.679,-23.2216,101.099
13.5068,80.9351,20.4205,44.6998
48.9387,121.867,97.6002,154.978
17.5614,107.17,40.0851,74.9098
23.7051,103.536,63.9731,98.1823
-12.0684,85.7137,-171.686,69.663
8.94042,76.7191,48.052,71.38
28.9972,103.536,67.9381,167.432
15.9035,77.0968,-56.8464,82.6533
59.3961,123.241,102.073,210.429
14.2152,-1.50025,-324.802,14.6691
19.3281,146.738,-100.74,79.4263
17.119,127.861,59.3315,124.071
-4.40676,106.042,47.0751,88.7884
35.2017,68.8134,50.7034,56.2147
9.06052,22.7,-72.1382,27.612
18.7138,53.7598,-32.2665,50.3241
8.51385,74.4526,7.12538,51.8452
12.5356,35.3272,34.4047,97.8527
38.2179,91.1164,54.9461,159.295
32.6132,81.3753,104.026,82.1275
15.9176,52.8668,-99.6451,81.086
1.44477,32.3935,-23.3889,76.7487
22.7551,84.5822,-100.469,88.1218
13.9175,70.5995,43.8185,120.776
31.8277,168.404,46.4587,78.1116
17.85,67.2187,16.7389,61.0998
25.1453,97.016,-16.1688,84.2236
35.1945,54.3338,-96.5512,69.194
35.0299,90.1116,-64.2967,50.9692
14.2369,13.3899,-29.7928,48.7676
14.4874,36.1563,-18.7979,27.0218
7.62469,94.318,-83.4709,101.964
21.3498,87.2219,96.2713,122.552
7.51396,73.508,70.4945,65.5906
42.8976,93.8159,13.924,114.068
37.5873,143.005,138.578,131.978
12.1737,132.414,144.958,107.636
15.2006,76.0896,-18.3567,63.3966
16.9506,91.1792,1.04066,57.5851
5.66054,96.3259,56.63,88.9902
26.8846,108.046,-127.482,30.9385
25.9027,101.406,47.0695,121.776
-7.05188,34.4981,-78.6406,16.1983
13.3858,100.841,35.2467,64.2377
34.3724,89.3579,33.6079,99.6707
16.5644,59.2453,6.77335,82.2399
19.5268,137.338,50.8852,93.8601
-2.74869,70.7909,31.118,59.1728
44.0866,101.844,71.4021,152.384
30.0891,92.7488,43.2329,76.5482
21.9265,66.3257,-88.3368,40.2229
11.5498,146.986,72.2924,61.351
9.44255,35.2634,25.8299,64.2653
13.5373,59.3729,-4.34876,41.3171
47.522,87.7874,91.5523,93.2561
52.3705,87.4732,68.7853,108.44
3.7283,32.9674,-46.3002,84.646
2.7223,58.9902,-92.9431,74.7375
35.2238,115.868,39.9697,72.0245
22.8675,113.116,-111.07,75.6322
24.6406,64.7948,-53.0886,67.2657
36.0537,77.0339,30.9556,95.4445
20.2307,127.923,24.4889,58.2525
12.1239,88.8554,-36.1604,82.7479
22.641,106.481,-62.2145,106.884
12.4435,78.1667,-43.144,101.998
45.1618,94.0042,43.8331,87.6926
23.2098,56.2474,-168.827,74.1108
31.3554,78.8589,-39.3645,100.167
14.3467,71.3012,-91.9925,60.9172
41.3142,65.7516,-31.1942,89.149
8.73589,66.9636,23.3412,100.19
29.4602,109.048,-17.9203,67.301
61.5,91.4303,-0.357129,103.013
30.2376,99.2112,55.546,84.3923
11.6859,93.1882,-1.08816,52.3062
26.8203,86.2793,-10.8638,92.8568
33.4436,130.045,72.1707,135.927
22.6216,96.9533,45.1257,102.946
13.6167,74.2007,6.21557,68.9999
34.9349,75.0823,37.8119,67.6079
45.2091,93.6903,87.2887,155.475
14.9379,94.9455,75.8907,80.4113
19.0744,50.0603,87.3562,71.102
2.79672,94.1925,-42.5923,109.058
34.2919,29.3323,-39.631,72.1001
26.063,60.7762,22.8196,37.0186
2.852,93.3765,41.5359,96.8328
11.3854,101.594,67.9811,116.119
12.5158,63.3277,-39.5262,81.7912
2.4085,98.2078,-28.7624,85.2682
22.1708,86.9077,26.9228,61.7599
18.1967,54.9717,-38.526,59.0952
12.591,71.3032,60.6706,85.6056
66.0299,154.445,8.36728,128.398
29.0898,86.405,-14.9928,59.7784
-7.52469,34.1792,-77.0133,68.7336
14.4336,84.4565,30.6981,87.7716
17.1491,108.985,-27.5238,84.2115
39.9406,84.6451,111.642,77.4412
24.4989,33.2863,-31.1412,40.412
17.8321,77.7891,-51.7589,69.1775
45.8226,124.553,-4.43751,105.567
13.0378,29.5874,-118.822,84.6489
-0.282699,71.0461,-57.9984,73.9991
23.6749,80.6205,-47.2311,46.7686
12.78,73.8858,-107.967,52.4366
20.7142,94.5063,10.4769,83.6416
20.8355,87.2847,-20.5173,100.581
0.613813,66.7722,-74.7311,59.5635
19.0703,39.4089,-3.30301,47.2151
11.6452,46.361,93.8753,32.4947
26.0598,102.283,49.2151,116.491
8.35362,58.4161,-39.2761,75.7338
5.31872,41.8963,-81.569,41.7888
7.85576,16.3869,-34.7966,76.2896
29.6562,128.859,91.3774,112.466
24.1506,48.2744,-71.4299,54.7733
11.9189,109.486,-41.5187,69.0118
27.0803,90.1744,-58.0678,45.7093
40.1517,123.179,33.2269,127.023
14.2186,74.3267,1.06443,75.1404
27.6299,63.2001,-19.469,45.4984
86.8929,96.3259,55.4453,123.515
31.621,102.91,4.2487,94.9996
13.0646,42.0239,61.1861,63.4115
-0.521067,54.7165,-166.637,23.5377
20.3707,56.8852,56.5977,115.717
9.75727,82.7589,-2.26237,84.0589
16.3268,87.0962,-20.7314,41.7117
5.1404,85.4622,-108.308,98.1083
9.80718,92.4977,-12.4664,60.2586
33.6695,77.915,59.3398,86.4795
6.13918,55.6733,-37.0236,60.1462
41.4933,64.6672,13.3723,117.941
8.955,108.234,94.3816,88.0142
20.0814,80.1173,82.9073,80.9205
36.1048,141.075,180.866,95.8521
27.4665,82.3816,-75.2757,63.6559
11.7453,35.7098,-73.8406,70.0486
17.604,110.801,-10.2742,100.603
33.5408,90.614,12.6424,82.5299
17.3579,74.3896,48.9301,73.1852
17.8007,63.838,-37.821,48.3285
29.7973,133.973,121.906,121.139
34.9127,113.991,12.4728,82.2477
19.1958,64.4758,118.901,69.7893
16.1886,82.696,-4.04584,44.8881
9.82325,76.0267,-0.554109,52.3883
24.0427,113.241,55.5589,170.222
2.39039,50.0603,27.2591,56.8586
27.8971,86.2793,-34.6042,88.8346
64.4171,102.659,20.0031,139.425
37.1353,102.534,71.1609,84.8208
27.0412,114.805,-48.5423,92.6512
22.0016,80.6834,-98.1562,68.3889
60.8815,98.3332,94.9902,87.5826
28.1528,106.856,-29.7406,78.6828
13.4288,78.5443,61.8093,71.6248
14.8511,53.4409,15.4242,77.8896
27.0654,75.2712,80.059,96.0514
33.2391,99.2112,15.7903,79.5334
10.7382,78.2926,-51.3848,60.252
15.3097,93.7531,86.2547,136.46
35.6521,71.1099,106.077,109.643
42.0508,70.2168,0.806165,122.949
9.97885,42.6617,-41.2552,53.3537
20.2816,41.7688,-6.50916,52.5912
44.7927,90.8024,15.2541,55.6643
20.5966,55.0355,0.314128,96.7086
27.0403,82.5703,81.8193,98.8386
22.523,63.3914,-8.21146,59.134
24.5009,67.4739,32.5568,46.2796
36.3908,67.1549,-40.0677,64.0767
22.5106,45.6594,38.9127,60.5148
15.267,81.1866,-2.90534,92.5295
29.6876,103.098,75.9288,102.896
22.3165,136.154,-57.9999,63.83
32.8642,45.7231,42.755,78.5816
44.2288,97.2669,-6.29995,63.5386
52.6832,123.803,5.63319,116.304
51.4194,114.554,57.9538,98.464
20.7567,61.2227,-4.83441,24.148
5.89005,48.9122,-23.8788,45.2363
25.7803,66.2619,-84.9821,68.4315
47.8153,87.4732,9.49015,97.1978
15.5498,80.6205,-44.8203,24.5986
16.403,67.4739,-49.6848,63.6643
43.7566,137.276,58.4889,164.706
22.573,90.1744,-74.5438,29.243
26.2054,111.739,-24.1037,63.8028
25.693,86.5935,-104.614,84.2198
27.7291,93.502,144.259,125.757
26.4913,54.6528,59.6174,74.6402
53.9827,89.2323,-39.8852,51.0437
20.5739,92.2466,-59.9204,141.825
31.8202,86.0908,-79.1792,91.121
32.4693,83.3248,113.853,98.1209
32.9742,68.2393,131.722,90.7046
29.2779,74.8934,-19.135,69.3045
42.4224,88.3528,-72.5724,69.4887
26.3779,76.5303,-141.607,68.9796
25.0319,61.9881,10.1131,78.5683
-13.1979,82.1301,-0.343198,57.7271
23.3639,58.735,20.1266,56.9879
21.1743,72.8781,-86.0868,93.3725
39.2588,107.671,-74.1071,98.4132
47.5901,43.9373,61.0312,146.562
3.63839,79.9285,-11.7028,33.7932
13.108,586.85,-65.6343,52.5034
1.1697,76.0896,41.0916,95.1447
9.42009,73.319,-53.2438,85.0148
11.9209,73.6969,-10.2416,74.8803
42.7097,132.29,-7.34899,92.3374
26.9223,93.502,12.6322,57.1701
20.9011,36.2838,-2.241,105.47
16.438,73.9488,15.0129,138.883
41.6572,108.86,72.3635,63.2114
25.7729,60.9038,-32.8971,69.26
28.2188,79.7398,-113.488,83.5209
18.6879,78.9848,68.3837,71.4499
26.9065,91.4931,-26.9896,113.705
35.6882,104.539,8.10615,75.1972
-0.791398,65.0499,67.1619,65.0274
30.0226,63.7742,-67.4319,47.4145
45.1741,38.3247,-23.9996,86.3308
38.2527,112.052,37.7869,64.1327
41.7113,196.59,216.43,197.186
14.0884,79.9914,95.1631,89.6119
15.8175,67.9842,34.2484,86.1278
29.3286,124.303,46.8904,100.182
30.2969,91.8071,107.879,126.483
16.1717,87.0962,119.301,95.4477
22.8531,82.4445,109.528,34.6251
-0.73722,89.8604,-119.446,36.1017
52.9861,121.243,67.9943,155.69
47.3991,133.724,-63.6044,82.5691
52.0903,88.9182,50.7438,84.7842
4.43268,25.761,22.0452,79.3942
33.6124,74.3896,-2.58676,50.2198
7.16665,75.0193,5.43686,61.5888
35.9083,128.859,63.752,111.608
10.5494,102.346,49.0187,111.65
5.82524,91.6815,-5.05401,82.8601
11.7279,74.7045,-19.449,102.411
29.5065,76.908,0.0256125,86.5086
36.9505,97.9569,55.9881,68.8365
41.5459,89.672,-37.3862,106.005
20.5486,65.0499,-46.8571,108.12
30.7654,142.195,38.687,104.858
7.55418,97.8315,5.30977,48.9525
29.2209,127.986,123.938,99.9785
17.758,77.2227,7.27379,65.2427
51.3082,141.386,58.8827,183.858
52.4196,131.354,90.8356,96.8937
16.8698,79.2365,-31.8785,84.8264
20.4543,107.483,213.663,106.424
33.5446,95.0083,0.120915,124.701
15.9542,119.181,-66.5653,125.704
21.9965,108.046,-57.7667,62.8657
14.5877,47.7004,-36.2887,94.9828
17.2881,65.7516,44.1301,68.7671
46.9002,75.3341,122.12,89.3141
23.4894,110.675,-4.89444,91.7236
5.24633,89.5463,-15.3683,86.338
18.3556,63.4552,80.4462,71.8664
42.2028,167.598,205.758,179.093
24.0004,91.5559,-58.1813,114.065
26.6714,60.3297,61.0035,78.9659
17.7901,169.891,89.3862,92.1037
25.2596,110.801,102.505,114.124
13.0304,100.026,-61.6029,85.4663
15.3257,50.5068,-30.307,98.173
14.1791,110.049,-31.0704,79.5305
28.4242,81.8156,-20.7345,78.9536
23.5503,110.112,77.8673,103.211
18.8958,96.4514,1.04358,72.6912
20.1813,64.6672,-67.772,130.68
67.5423,174.659,121.395,152.489
16.2424,48.6571,-110.06,63.2512
9.67226,98.0196,19.2947,26.5724
24.4441,74.6415,-7.72313,95.1858
45.7638,84.2679,-21.3131,99.9307
31.0433,82.8847,-62.3974,73.987
34.4871,87.5989,-66.5662,56.4959
40.118,123.928,24.7287,82.075
22.4347,105.416,-41.72,105.46
16.8095,58.1609,90.1429,109.775
12.069,141.635,-36.2174,76.6744
15.3772,66.8998,-5.37464,55.9393
9.26376,94.6318,-59.5402,84.1304
41.7618,46.2972,95.8786,63.763
20.4573,57.4593,66.2429,93.9216
20.5866,132.913,172.828,140.407
35.9102,138.086,171.181,153.991
-4.39605,54.7165,-45.165,41.7878
26.8063,60.7124,-109.024,39.6365
4.42234,50.0603,35.4273,68.3738
19.3546,85.8394,30.7356,106.907
64.2469,82.0672,44.918,68.2312
36.0107,97.8942,61.7889,106.315
18.4788,58.1609,52.5805,70.3467
32.2715,119.243,-53.6608,77.4949
35.1844,66.9636,48.453,119.002
25.1839,84.708,47.8724,134.701
28.3601,28.6308,-42.3941,49.5662
24.2893,82.3816,31.192,88.043
1.90073,57.9696,1.15291,62.5922
59.4309,176.949,179.302,170.041
17.5534,90.3,19.6517,81.8923
15.9778,70.153,-44.9674,56.1422
45.4762,121.118,93.8997,107.538
25.5613,21.2333,-39.5305,74.5086
14.0108,41.8963,85.4516,73.8991
24.7122,131.167,31.3075,132.339
6.94812,102.847,-58.7616,79.7856
11.673,61.8606,-3.45977,59.8313
46.9204,132.414,19.5614,87.0676
39.0928,137.899,-55.2839,147.296
29.3287,99.7128,81.697,118.433
35.1533,62.626,60.5731,134.631
60.6995,118.368,17.5399,101.796
19.5541,73.8858,3.13042,84.7395
41.9226,78.7331,-17.2735,76.3273
39.7999,20.9144,-55.1394,44.3777
25.518,85.6508,55.1343,134.091
33.402,109.298,-62.2654,49.2548
17.154,119.681,-60.7008,108.008
5.24424,54.3338,-28.6187,56.1483
38.8431,77.6003,-39.1497,77.6534
42.836,158.667,41.7815,120.912
5.86122,67.4739,-101.788,91.0305
33.1966,96.4514,140.78,78.1702
15.7826,122.929,124.938,120.424
4.0681,72.7522,35.9185,101.649
16.33,102.722,31.4779,108.285
20.1617,111.864,45.5295,157.2
44.1655,112.615,110.175,161.878
40.0732,61.9243,47.9854,87.0474
-0.996977,104.038,28.8119,70.6901
19.4809,84.8965,-94.3344,98.9594
35.0654,95.071,-7.44682,53.1091
4.99164,54.2063,-56.9075,59.878
30.6368,90.5512,225.447,149.58
24.8496,65.4964,-70.601,92.7345
11.9382,83.9536,65.9776,109.469
-5.43377,105.666,-88.5816,54.0139
15.3556,56.1198,-70.1799,64.4311
13.6667,64.4758,4.11916,39.1072
4.20608,47.9555,-59.2492,92.4028
22.923,61.414,-51.9836,99.8867
33.294,91.9326,23.2034,97.7753
22.8961,69.3876,-65.2051,72.456
30.2852,96.8905,42.8229,91.2678
63.1145,137.712,105.327,145.981
22.4909,172.678,127.877,123.56
19.1413,97.3924,-59.6133,88.0109
8.55304,71.8702,-86.1991,83.9992
14.9986,59.1177,-47.749,43.2397
-5.74683,80.9351,-34.6551,88.7978
18.7324,37.1767,72.33,48.2529
39.1227,75.9008,68.7056,83.104
56.3221,60.2659,-34.5401,125.895
2.63661,86.3421,15.3008,41.6695
23.1028,40.4294,-56.6449,37.3154
36.7214,76.0896,17.8551,112.552
16.7433,29.141,29.8291,50.1998
35.5517,76.3414,6.63861,66.0157
30.8927,132.414,50.7637,102.888
5.45269,90.7396,63.0009,179.014
37.1111,126.051,-8.45278,69.2497
29.7224,52.0376,-56.7001,74.6866
26.6189,128.922,-15.2187,90.8852
49.3976,77.6003,10.2638,91.8144
31.7185,84.205,30.6654,65.9044
17.386,137.65,45.7417,82.2341
43.5366,92.121,-14.6836,61.3342
18.2973,77.1597,67.5864,78.3427
39.9475,115.743,-18.6094,107.102
