population,sort,trial,replicate,target,value,control
population1,positive,3,1,HA,19.751,26.81
population1,positive,3,2,HA,20.781,27.856
population1,positive,3,3,HA,20.404,27.541
population2,positive,3,1,HA,18.949,26.299
population2,positive,3,2,HA,19.69,26.705
population2,positive,3,3,HA,19.504,26.538
population1,negative,3,1,HA,22.318,26.693
population1,negative,3,2,HA,21.967,26.608
population1,negative,3,3,HA,22.349,26.472
population2,negative,3,1,HA,22.14,26.24
population2,negative,3,2,HA,22.67,26.54
population2,negative,3,3,HA,22.663,26.563
population1,positive,3,1,IFNB1,23.893,26.81
population1,positive,3,2,IFNB1,24.455,27.856
population1,positive,3,3,IFNB1,24.619,27.541
population2,positive,3,1,IFNB1,23.235,26.693
population2,positive,3,2,IFNB1,23.427,26.608
population2,positive,3,3,IFNB1,23.42,26.472
population1,negative,3,1,IFNB1,30.435,26.693
population1,negative,3,2,IFNB1,30.324,26.608
population1,negative,3,3,IFNB1,30.208,26.472
population2,negative,3,1,IFNB1,30.363,26.24
population2,negative,3,2,IFNB1,31.821,26.54
population2,negative,3,3,IFNB1,31.085,26.563
population1,positive,1,1,HA,16.625,22.413
population1,positive,1,2,HA,16.764,22.397
population1,positive,1,3,HA,16.415,22.412
population1,positive,2,1,HA,14.604,22.018
population1,positive,2,2,HA,15.018,21.792
population1,positive,2,3,HA,14.38,22.051
population2,positive,1,1,HA,14.57,21.77
population2,positive,1,2,HA,14.634,21.559
population2,positive,1,3,HA,14.568,21.679
population2,positive,2,1,HA,15.848,22.182
population2,positive,2,2,HA,15.772,22.037
population2,positive,2,3,HA,15.441,22.006
population1,negative,1,1,HA,17.828,21.147
population1,negative,1,2,HA,17.771,21.109
population1,negative,1,3,HA,17.513,21.104
population1,negative,2,1,HA,16.43,21.193
population1,negative,2,2,HA,16.549,21.049
population1,negative,2,3,HA,16.32,21.217
population2,negative,1,1,HA,17.267,21.354
population2,negative,1,2,HA,17.306,21.106
population2,negative,1,3,HA,17.161,21.288
population2,negative,2,1,HA,16.873,21.759
population2,negative,2,2,HA,17.014,21.502
population2,negative,2,3,HA,17.101,21.192
population1,positive,1,1,IFNB1,19.758,22.413
population1,positive,1,2,IFNB1,19.259,22.397
population1,positive,1,3,IFNB1,19.581,22.412
population1,positive,2,1,IFNB1,18.893,22.018
population1,positive,2,2,IFNB1,18.588,21.792
population1,positive,2,3,IFNB1,18.75,22.051
population2,positive,1,1,IFNB1,18.529,21.77
population2,positive,1,2,IFNB1,18.427,21.559
population2,positive,1,3,IFNB1,18.451,21.679
population2,positive,2,1,IFNB1,19.187,22.182
population2,positive,2,2,IFNB1,18.772,22.037
population2,positive,2,3,IFNB1,19.134,22.006
population1,negative,1,1,IFNB1,25.088,21.147
population1,negative,1,2,IFNB1,24.638,21.109
population1,negative,1,3,IFNB1,24.987,21.104
population1,negative,2,1,IFNB1,22.691,21.193
population1,negative,2,2,IFNB1,22.617,21.049
population1,negative,2,3,IFNB1,22.694,21.217
population2,negative,1,1,IFNB1,24.767,21.354
population2,negative,1,2,IFNB1,24.648,21.106
population2,negative,1,3,IFNB1,24.689,21.288
population2,negative,2,1,IFNB1,23.178,21.759
population2,negative,2,2,IFNB1,23.168,21.502
population2,negative,2,3,IFNB1,23.299,21.192
