segment	left	right	count
PB2_vRNA	361	2146	54
PB2_vRNA	361	2028	9
PB2_vRNA	361	1956	7
PB2_vRNA	361	2015	76
PB2_vRNA	361	2068	9
PB2_vRNA	361	2055	8
PB2_vRNA	361	1995	11
PB2_vRNA	361	2041	1
PB2_vRNA	361	2085	6
PB2_vRNA	361	2118	1
PB2_vRNA	361	2106	5
PB2_vRNA	361	2077	1
PB2_vRNA	361	1942	1
PB2_vRNA	216	2245	44364
PB2_vRNA	216	2183	1303
PB2_vRNA	216	2175	36
PB2_vRNA	216	2193	568
PB2_vRNA	216	2180	805
PB2_vRNA	216	2166	349
PB2_vRNA	216	2215	42
PB2_vRNA	216	2244	306
PB2_vRNA	216	2228	89
PB2_vRNA	216	2155	61
PB2_vRNA	216	2252	135
PB2_vRNA	216	1871	90
PB2_vRNA	216	2187	19
PB2_vRNA	216	2243	37
PB2_vRNA	216	2259	1
PB2_vRNA	216	2225	37
PB2_vRNA	216	2209	26
PB2_vRNA	216	2226	25
PB2_vRNA	216	2138	43
PB2_vRNA	216	2069	15
PB2_vRNA	216	334	21
PB2_vRNA	216	2201	25
PB2_vRNA	216	2170	52
PB2_vRNA	216	2147	47
PB2_vRNA	216	2135	8
PB2_vRNA	216	2163	5
PB2_vRNA	216	2222	6
PB2_vRNA	216	2233	39
PB2_vRNA	216	2144	12
PB2_vRNA	216	2181	2
PB2_vRNA	216	2191	16
PB2_vRNA	216	2246	12
PB2_vRNA	216	2184	2
PB2_vRNA	216	2066	10
PB2_vRNA	216	2133	2
PB2_vRNA	216	2149	4
PB2_vRNA	216	2249	5
PB2_vRNA	216	2195	2
PB2_vRNA	216	1809	2
PB2_vRNA	216	286	3
PB2_vRNA	216	1989	1
PB2_vRNA	216	2223	1
PB2_vRNA	216	2213	1
PB2_vRNA	216	2172	2
PB2_vRNA	216	2031	1
PB2_vRNA	216	2247	1
PB2_vRNA	287	2180	8972
PB2_vRNA	287	1962	25
PB2_vRNA	287	2121	1000
PB2_vRNA	287	1984	45
PB2_vRNA	287	2163	40
PB2_vRNA	287	2176	312
PB2_vRNA	287	2127	44
PB2_vRNA	287	2165	28
PB2_vRNA	287	2241	155
PB2_vRNA	287	2190	3
PB2_vRNA	287	2162	61
PB2_vRNA	287	2145	207
PB2_vRNA	287	1996	35
PB2_vRNA	287	2224	12
PB2_vRNA	287	2181	9
PB2_vRNA	287	2016	1
PB2_vRNA	287	2043	20
PB2_vRNA	287	2175	10
PB2_vRNA	287	2070	3
PB2_vRNA	287	2151	1
PB2_vRNA	287	340	1
PB2_vRNA	648	1779	1
PB2_vRNA	648	1777	1
PB2_vRNA	236	2228	25734
PB2_vRNA	236	2152	4382
PB2_vRNA	236	2215	29489
PB2_vRNA	236	2160	5368
PB2_vRNA	236	2184	897
PB2_vRNA	236	2172	38
PB2_vRNA	236	2250	106
PB2_vRNA	236	2180	103
PB2_vRNA	236	2194	12
PB2_vRNA	236	2229	3
PB2_vRNA	236	2217	11
PB2_vRNA	236	2145	5
PB2_vRNA	236	2153	13
PB2_vRNA	236	2201	5
PB2_vRNA	236	2127	3
PB2_vRNA	236	2163	1
PB2_vRNA	2122	2157	38
PB2_vRNA	246	2146	29
PB2_vRNA	246	2153	980
PB2_vRNA	246	2190	2849
PB2_vRNA	246	2182	856
PB2_vRNA	246	2210	100
PB2_vRNA	246	2257	6
PB2_vRNA	246	2103	19
PB2_vRNA	246	2172	36
PB2_vRNA	246	2181	34
PB2_vRNA	246	2227	39
PB2_vRNA	246	2135	21
PB2_vRNA	246	2163	2
PB2_vRNA	210	2137	36869
PB2_vRNA	210	2162	110
PB2_vRNA	210	280	72
PB2_vRNA	210	1934	113
PB2_vRNA	210	2148	5
PB2_vRNA	210	2170	3
PB2_vRNA	210	2124	13
PB2_vRNA	210	2184	5
PB2_vRNA	210	2140	2
PB2_vRNA	210	2232	1
PB2_vRNA	210	287	1
PB2_vRNA	276	2211	8
PB2_vRNA	276	2226	42
PB2_vRNA	276	2151	179
