PA_vRNA	497	1818	+
PA_vRNA	334	2012	+
PB2_vRNA	358	2090	+
PB1_vRNA	243	2073	+
PB1_vRNA	318	2046	+
PB2_vRNA	548	1924	+
PB2_vRNA	456	1913	+
PA_vRNA	295	2044	+
M_vRNA	269	367	+
PA_vRNA	352	1930	+
PA_vRNA	1882	1987	+
PB2_vRNA	450	1949	+
PA_vRNA	258	2003	+
PA_vRNA	251	2072	+
PA_vRNA	253	2120	+
PB2_vRNA	387	2040	+
PB2_vRNA	517	1808	+
PB2_vRNA	435	1932	+
PA_vRNA	317	2114	+
NA_vRNA	219	1366	+
PB1_vRNA	2251	2291	+
PB2_vRNA	268	2147	+
PB2_vRNA	279	2196	+
PB2_vRNA	455	1698	+
PB2_vRNA	279	1975	+
PB1_vRNA	318	2061	+
PB2_vRNA	319	2048	+
NA_vRNA	113	1274	+
PA_vRNA	378	1932	+
PB2_vRNA	455	1874	+
PB1_vRNA	323	2152	+
PB1_vRNA	261	2182	+
PB2_vRNA	325	2081	+
PA_vRNA	380	1270	+
PB1_vRNA	247	2192	+
PB1_vRNA	374	2139	+
PB1_vRNA	418	2027	+
PB1_vRNA	290	2019	+
PB2_vRNA	458	1810	+
PB2_vRNA	145	302	+
PB2_vRNA	275	2192	+
PA_vRNA	285	2010	+
PB2_vRNA	142	1197	+
PB2_vRNA	375	2079	+
PA_vRNA	757	1556	+
PB1_vRNA	393	2015	+
PA_vRNA	229	2018	+
PB1_vRNA	320	2027	+
PB2_vRNA	390	2057	+
PA_vRNA	448	1778	+
PA_vRNA	214	1973	+
PA_vRNA	1979	2023	+
PA_vRNA	636	2074	+
PA_vRNA	376	2011	+
PB2_vRNA	150	1237	+
PB2_vRNA	624	1852	+
PA_vRNA	258	2096	+
PA_vRNA	788	2194	+
PB2_vRNA	207	2235	+
PA_vRNA	269	2021	+
PB1_vRNA	301	2177	+
PA_vRNA	386	1934	+
PB2_vRNA	231	2122	+
PA_vRNA	392	1883	+
PA_vRNA	285	2051	+
PA_vRNA	303	2034	+
PB1_vRNA	263	2133	+
PA_vRNA	258	2014	+
PA_vRNA	565	1896	+
PB2_vRNA	230	2191	+
PB1_vRNA	234	2168	+
PA_vRNA	2097	2155	+
PB1_vRNA	2265	2276	+
PB1_vRNA	230	1925	+
PB2_vRNA	216	2228	+
PA_vRNA	269	1992	+
HA_vRNA	249	1641	+
PB2_vRNA	377	403	+
PA_vRNA	417	2113	+
PA_vRNA	321	2016	+
PB1_vRNA	186	194	+
PB1_vRNA	457	1990	+
PB2_vRNA	202	2156	+
PB2_vRNA	592	1800	+
PB1_vRNA	511	2057	+
PB1_vRNA	304	2008	+
NP_vRNA	137	546	+
PB1_vRNA	313	2143	+
NA_vRNA	1285	1348	+
PB1_vRNA	448	2022	+
PA_vRNA	286	2067	+
PA_vRNA	448	1709	+
PA_vRNA	266	2106	+
PA_vRNA	110	162	+
PB1_vRNA	365	2050	+
PB1_vRNA	312	2188	+
PA_vRNA	345	1989	+
PB2_vRNA	276	291	+
PA_vRNA	403	1332	+
PB2_vRNA	217	2221	+
PA_vRNA	211	1995	+
PA_vRNA	621	1801	+
PB1_vRNA	448	1942	+
PB2_vRNA	252	2229	+
PB2_vRNA	235	2194	+
PA_vRNA	290	2011	+
PA_vRNA	330	2024	+
PB1_vRNA	258	2180	+
PB1_vRNA	443	1998	+
PB1_vRNA	216	2204	+
PB1_vRNA	243	2136	+
PB1_vRNA	449	2022	+
PB2_vRNA	519	1866	+
PA_vRNA	102	108	+
NA_vRNA	249	1323	+
PA_vRNA	499	1826	+
PB1_vRNA	375	2194	+
PA_vRNA	316	2075	+
PB2_vRNA	278	2225	+
HA_vRNA	742	994	+
PA_vRNA	2128	2155	+
PA_vRNA	95	2070	+
PA_vRNA	250	2044	+
PB2_vRNA	330	2049	+
PA_vRNA	283	2053	+
PB1_vRNA	443	2001	+
PB2_vRNA	698	1825	+
PB2_vRNA	425	2061	+
PB1_vRNA	625	1819	+
PA_vRNA	289	2050	+
PA_vRNA	529	1882	+
PA_vRNA	279	2045	+
PB1_vRNA	260	2115	+
PA_vRNA	345	1919	+
PA_vRNA	162	1977	+
PB1_vRNA	320	2073	+
NA_vRNA	344	1255	+
PB1_vRNA	180	2206	+
PA_vRNA	359	1962	+
PB2_vRNA	217	2235	+
PB2_vRNA	254	2181	+
PB2_vRNA	376	2114	+
PA_vRNA	317	1948	+
NA_vRNA	1315	1344	+
PA_vRNA	331	2020	+
NP_vRNA	499	1084	+
PA_vRNA	389	2024	+
PB1_vRNA	293	2138	+
PB2_vRNA	456	2000	+
PB1_vRNA	2189	2213	+
PB2_vRNA	607	1942	+
PB1_vRNA	234	2028	+
PA_vRNA	335	2051	+
