	segment	fivePrime	threePrime	counts
0	NS_vRNA	44	162	1
1	NS_vRNA	47	80	2
2	NS_vRNA	47	611	1
3	NS_vRNA	60	554	1
4	NS_vRNA	81	738	1
5	NS_vRNA	86	714	1
6	NS_vRNA	96	692	8
7	NS_vRNA	98	698	1
8	NS_vRNA	102	731	1
9	NS_vRNA	107	397	1
10	NS_vRNA	110	624	48
11	NS_vRNA	115	753	2
12	NS_vRNA	119	636	1
13	NS_vRNA	132	665	3
14	NS_vRNA	136	718	1
15	NS_vRNA	137	674	1
16	NS_vRNA	138	739	2
17	NS_vRNA	140	745	1
18	NS_vRNA	141	746	5
19	NS_vRNA	144	852	1
20	NS_vRNA	145	686	4
21	NS_vRNA	150	773	15
22	NS_vRNA	151	477	2
23	NS_vRNA	155	200	2
24	NS_vRNA	156	832	1
25	NS_vRNA	157	776	1
26	NS_vRNA	160	540	2
27	NS_vRNA	160	690	2
28	NS_vRNA	164	778	2
29	NS_vRNA	165	730	9
30	NS_vRNA	166	614	6
31	NS_vRNA	167	781	6
32	NS_vRNA	168	191	1
33	NS_vRNA	170	771	1
34	NS_vRNA	178	698	2
35	NS_vRNA	178	834	1
36	NS_vRNA	181	705	1
37	NS_vRNA	183	482	1
38	NS_vRNA	186	203	8
39	NS_vRNA	188	671	2
40	NS_vRNA	193	740	1
41	NS_vRNA	196	726	1
42	NS_vRNA	198	673	3
43	NS_vRNA	199	504	1
44	NS_vRNA	199	636	2
45	NS_vRNA	199	690	1
46	NS_vRNA	199	707	188
47	NS_vRNA	200	534	1
48	NS_vRNA	200	662	1
49	NS_vRNA	202	659	3
50	NS_vRNA	204	768	1
51	NS_vRNA	212	247	2
52	NS_vRNA	212	751	19
53	NS_vRNA	214	638	1
54	NS_vRNA	215	616	1
55	NS_vRNA	215	664	2
56	NS_vRNA	216	669	430
57	NS_vRNA	216	702	4
58	NS_vRNA	216	708	3
59	NS_vRNA	217	714	3
60	NS_vRNA	218	657	2
61	NS_vRNA	218	674	4
62	NS_vRNA	219	751	5
63	NS_vRNA	219	822	10
64	NS_vRNA	221	231	1
65	NS_vRNA	221	661	1
66	NS_vRNA	221	719	1
67	NS_vRNA	224	285	1
68	NS_vRNA	228	278	3
69	NS_vRNA	230	684	2
70	NS_vRNA	232	736	1
71	NS_vRNA	238	672	2
72	NS_vRNA	239	694	2
73	NS_vRNA	243	267	1
74	NS_vRNA	244	719	2
75	NS_vRNA	245	496	1
76	NS_vRNA	246	537	1
77	NS_vRNA	247	265	1
78	NS_vRNA	248	283	4
79	NS_vRNA	249	469	1
80	NS_vRNA	252	747	2
81	NS_vRNA	253	544	3
82	NS_vRNA	257	751	6
83	NS_vRNA	263	617	5
84	NS_vRNA	265	556	6
85	NS_vRNA	269	478	3
86	NS_vRNA	281	474	1
87	NS_vRNA	282	307	1
88	NS_vRNA	283	637	1
89	NS_vRNA	286	479	2
90	NS_vRNA	288	707	4
91	NS_vRNA	291	850	1
92	NS_vRNA	294	450	2
93	NS_vRNA	295	722	2
94	NS_vRNA	297	309	1
95	NS_vRNA	300	617	2
96	NS_vRNA	302	322	1
97	NS_vRNA	305	656	1
98	NS_vRNA	306	369	1
99	NS_vRNA	307	625	1
100	NS_vRNA	307	645	1
101	NS_vRNA	308	389	2
102	NS_vRNA	309	513	7
103	NS_vRNA	310	501	1
104	NS_vRNA	310	647	1
105	NS_vRNA	311	684	16
106	NS_vRNA	311	801	1
107	NS_vRNA	318	434	1
108	NS_vRNA	321	478	21
109	NS_vRNA	322	604	7
110	NS_vRNA	337	800	3
111	NS_vRNA	339	561	2
112	NS_vRNA	339	636	2
113	NS_vRNA	342	576	1
114	NS_vRNA	346	849	3
115	NS_vRNA	347	517	1
116	NS_vRNA	348	425	2
117	NS_vRNA	351	409	2
118	NS_vRNA	351	480	1
119	NS_vRNA	353	556	1
120	NS_vRNA	358	429	3
121	NS_vRNA	358	615	1
122	NS_vRNA	360	526	1
123	NS_vRNA	364	429	1
124	NS_vRNA	365	399	1
125	NS_vRNA	365	838	7
126	NS_vRNA	366	449	2
127	NS_vRNA	368	615	1
128	NS_vRNA	372	458	1
129	NS_vRNA	372	675	1
130	NS_vRNA	384	491	3
131	NS_vRNA	387	492	5
132	NS_vRNA	389	530	2
133	NS_vRNA	389	631	2
134	NS_vRNA	396	743	1
135	NS_vRNA	405	511	3
136	NS_vRNA	415	439	1
137	NS_vRNA	427	522	4
138	NS_vRNA	430	636	1
139	NS_vRNA	440	496	4
140	NS_vRNA	446	537	1
141	NS_vRNA	450	468	1
142	NS_vRNA	457	488	3
143	NS_vRNA	457	493	1
144	NS_vRNA	457	524	2
145	NS_vRNA	459	545	2
146	NS_vRNA	462	541	1
147	NS_vRNA	463	507	2
148	NS_vRNA	465	840	1
149	NS_vRNA	466	515	2
150	NS_vRNA	471	710	1
151	NS_vRNA	489	524	3
152	NS_vRNA	490	538	1
