segment	fivePrime	threePrime	counts
PB1_vRNA	2196	2213	4
PB2_vRNA	408	2016	0
PB2_vRNA	551	1894	11
PA_vRNA	404	2042	5
PA_vRNA	248	2052	17657
PA_vRNA	260	2024	0
PB1_vRNA	437	1980	3
PB1_vRNA	428	2026	15
PB2_vRNA	518	1891	1
PA_vRNA	291	2046	326
NA_vRNA	183	1307	4
PB2_vRNA	216	2246	1
PA_vRNA	293	2058	996
PA_vRNA	529	1789	128
PB2_vRNA	370	2058	7
PA_vRNA	312	1997	108
PB1_vRNA	221	2233	24
PB1_vRNA	295	2177	1
PB1_vRNA	318	369	166
PA_vRNA	329	1979	119
PB2_vRNA	188	2131	10
PA_vRNA	152	1940	16
PA_vRNA	92	1832	4
PA_vRNA	249	1953	222
PA_vRNA	348	2010	3
PB2_vRNA	467	2184	22
PB1_vRNA	160	168	2117
PB2_vRNA	467	1750	10
PB1_vRNA	793	1700	9
PB2_vRNA	296	2136	68
PB2_vRNA	229	2154	5
PA_vRNA	243	334	1
PA_vRNA	280	2058	42
PA_vRNA	373	2108	1
PB1_vRNA	272	336	7
PB1_vRNA	304	2070	7
PB1_vRNA	469	2015	20
PA_vRNA	345	2021	6672
PB2_vRNA	345	2068	0
PA_vRNA	252	1989	4
PB2_vRNA	572	1867	51
PA_vRNA	373	1847	86
PB2_vRNA	266	2209	0
PB2_vRNA	733	1910	7
PA_vRNA	452	1903	6
PB1_vRNA	252	2186	99
PB1_vRNA	362	2094	1
PB2_vRNA	198	2146	7
NA_vRNA	222	1297	6
PA_vRNA	438	1933	4
PA_vRNA	293	2108	316
PA_vRNA	220	2091	5
PB1_vRNA	190	1991	25
PA_vRNA	537	1863	1828
PB2_vRNA	268	2144	7
PA_vRNA	103	2006	1
PB1_vRNA	300	2123	2
PA_vRNA	302	2013	155
PA_vRNA	378	1962	16
PA_vRNA	454	1861	19
PA_vRNA	305	2032	0
PA_vRNA	351	1904	5
NA_vRNA	307	1173	3
PB2_vRNA	240	2182	19
PB1_vRNA	200	2151	2
PA_vRNA	427	1782	12
PA_vRNA	320	2007	0
PB1_vRNA	230	1882	30
PB1_vRNA	465	2032	387
PB1_vRNA	336	368	2
PB2_vRNA	236	2194	6
PB2_vRNA	108	2127	0
PA_vRNA	403	1941	20
PB2_vRNA	410	1918	5
PA_vRNA	348	1984	11
PA_vRNA	282	2051	31
PA_vRNA	386	1948	85
PB1_vRNA	298	2134	0
PB1_vRNA	337	2134	6
PB2_vRNA	286	2075	8
PB1_vRNA	255	2174	27
PA_vRNA	321	1804	36
PA_vRNA	251	2030	1
PB1_vRNA	463	1994	25
PB1_vRNA	289	2081	2
NA_vRNA	203	1311	8
PA_vRNA	237	2075	81
PB2_vRNA	274	2178	89
PA_vRNA	410	1892	48
PB2_vRNA	185	433	18
PB1_vRNA	293	2042	738
PB2_vRNA	367	2032	48
PA_vRNA	356	1977	129
PB1_vRNA	329	2183	0
PB2_vRNA	345	2056	10
PB2_vRNA	1543	2056	4
PA_vRNA	292	2051	2
PA_vRNA	221	2034	2
PB1_vRNA	237	2153	5
PB2_vRNA	251	1568	12
PA_vRNA	68	929	6
PB2_vRNA	686	1864	0
PB1_vRNA	513	1961	4
PA_vRNA	407	1885	206
PB1_vRNA	275	2072	1
PA_vRNA	120	2068	1
PA_vRNA	317	2058	2
PA_vRNA	222	2097	1
PB1_vRNA	497	2007	3
PB2_vRNA	290	2135	25
PA_vRNA	291	2017	8
PB2_vRNA	243	2216	15
PA_vRNA	227	2075	5
PB2_vRNA	131	212	1
PB2_vRNA	442	1909	88
PB2_vRNA	231	2170	2
PB2_vRNA	178	2115	0
NA_vRNA	203	1274	4
PB1_vRNA	401	2015	3
PB2_vRNA	206	2060	0
PB2_vRNA	546	1925	535
PB2_vRNA	248	2259	11794
PB1_vRNA	298	1627	35
PB2_vRNA	274	2122	1
PA_vRNA	157	324	0
PA_vRNA	376	1998	5
PB1_vRNA	313	2139	0
PB2_vRNA	184	2160	7
PB2_vRNA	248	2163	4
PA_vRNA	195	1923	4
PA_vRNA	173	1837	251
PB2_vRNA	357	2090	5
PB1_vRNA	252	2176	38
PA_vRNA	484	1824	4
PB1_vRNA	264	2055	48
PA_vRNA	249	1982	4
PA_vRNA	543	2046	6
PB2_vRNA	244	2142	2
PB1_vRNA	433	1997	670
PB2_vRNA	237	2166	3
PB2_vRNA	687	1771	13
PB2_vRNA	227	2255	0
PB1_vRNA	338	2056	285
PB2_vRNA	452	1992	0
PA_vRNA	307	2025	10803
PA_vRNA	420	2052	2928
PB1_vRNA	307	1800	68
PB1_vRNA	277	2181	1
PA_vRNA	216	2106	3
PB1_vRNA	335	1637	29
PA_vRNA	566	1705	0
PB1_vRNA	298	2173	1
PA_vRNA	367	1937	1
PA_vRNA	305	2064	1
PB2_vRNA	455	2046	8
PA_vRNA	359	1932	2
PB2_vRNA	216	2195	265
PA_vRNA	265	2023	4
PB1_vRNA	377	2129	2
PB2_vRNA	389	2067	2429
PA_vRNA	1004	1572	0
PA_vRNA	469	1953	5
PB1_vRNA	316	2185	2
PA_vRNA	264	2033	13
PA_vRNA	396	1915	3
PB2_vRNA	453	1970	8
PA_vRNA	379	2054	3
PB2_vRNA	279	2145	1
PB1_vRNA	715	1644	2
PA_vRNA	524	1978	1
PB1_vRNA	297	2176	0
PA_vRNA	238	2075	63
PA_vRNA	222	241	43
PA_vRNA	317	1960	6
PB1_vRNA	237	2183	2
PA_vRNA	173	2048	12
PA_vRNA	252	2018	1
PA_vRNA	280	2028	21
PA_vRNA	415	2012	35
PB1_vRNA	467	2034	0
PA_vRNA	1875	2117	0
PB2_vRNA	207	2130	3
PA_vRNA	471	1826	9
PA_vRNA	237	2017	9
PA_vRNA	268	2044	18
PB1_vRNA	231	2181	1
PA_vRNA	214	2092	28
PB1_vRNA	252	2181	68
PA_vRNA	1822	1885	17
PB2_vRNA	188	1878	12
PB1_vRNA	352	2007	24
PB2_vRNA	225	2201	18
PB2_vRNA	548	1856	9
PA_vRNA	329	1940	91
PB1_vRNA	2137	2246	4
PA_vRNA	412	1962	7
PB1_vRNA	300	2086	907
PB2_vRNA	374	2025	30
PB2_vRNA	174	1681	3
PB1_vRNA	322	2016	8
PA_vRNA	222	2120	1
PB2_vRNA	443	1931	1
PB2_vRNA	621	2018	1
PB2_vRNA	450	2017	7
PA_vRNA	298	2062	55
PB1_vRNA	264	2142	4
PB1_vRNA	215	2205	6
PB1_vRNA	2143	2195	10
M_vRNA	576	658	3
PB1_vRNA	517	1664	0
PB2_vRNA	279	2123	2
PA_vRNA	291	1894	66
PA_vRNA	368	1977	2
PB2_vRNA	140	2132	2
PA_vRNA	269	2054	4
PB1_vRNA	412	2106	1
PB1_vRNA	341	2145	602
PB2_vRNA	219	2165	4
PB2_vRNA	226	2176	616
PA_vRNA	411	1907	68
NA_vRNA	175	1324	18
PA_vRNA	261	1853	192
PB2_vRNA	279	2170	58
PB1_vRNA	477	1939	3
PB2_vRNA	461	1975	6
PA_vRNA	511	1804	0
PA_vRNA	198	1882	15
PB1_vRNA	434	1938	5
NA_vRNA	172	1324	9
NP_vRNA	379	725	4
PB2_vRNA	230	2140	2
PB2_vRNA	568	1900	0
PA_vRNA	213	2002	7
PA_vRNA	490	1946	1
PB1_vRNA	393	2020	3
PA_vRNA	1696	1844	3
PB1_vRNA	444	2090	8
PB1_vRNA	246	2197	0
PA_vRNA	438	1982	1
PA_vRNA	527	1809	1470
PA_vRNA	252	2043	177
PA_vRNA	296	2032	235
PB1_vRNA	395	2047	15
PA_vRNA	799	1479	1
PA_vRNA	668	1652	1515
PA_vRNA	391	1819	11
PA_vRNA	2142	2156	22
PB1_vRNA	453	2031	11
PA_vRNA	210	2107	30
PB2_vRNA	438	1955	4
PB2_vRNA	691	1712	2
PA_vRNA	2140	2189	3
NA_vRNA	468	1120	0
PB2_vRNA	291	2142	1
PA_vRNA	377	1978	5
PB1_vRNA	243	1950	17
PB2_vRNA	391	2049	1
PB2_vRNA	461	1962	5
PA_vRNA	524	1760	1
PB1_vRNA	307	2133	718
PB1_vRNA	234	2182	18
PA_vRNA	1457	2056	3
PA_vRNA	235	2038	3
PB1_vRNA	152	2084	1
PB1_vRNA	515	2056	105
PA_vRNA	537	1707	0
PB1_vRNA	296	2182	2
PB2_vRNA	242	2186	258
NP_vRNA	332	1249	2
PB1_vRNA	465	2067	50
PB1_vRNA	242	2144	4393
PA_vRNA	348	1996	1
PB1_vRNA	444	2093	11
PB2_vRNA	293	1974	19
PA_vRNA	352	2052	0
PA_vRNA	335	1989	10
PB2_vRNA	629	1872	1
PB1_vRNA	219	2047	58
PB1_vRNA	300	2115	62
PB1_vRNA	483	2004	4
PA_vRNA	257	2098	12
PB1_vRNA	248	2153	0
PB2_vRNA	252	2129	7
PB1_vRNA	367	2029	39
NA_vRNA	196	1253	6
PB1_vRNA	234	2179	3
PB1_vRNA	316	2049	2
PA_vRNA	256	2033	14
PB1_vRNA	2209	2290	6
PB1_vRNA	457	1990	5
PB1_vRNA	233	2201	13
PA_vRNA	485	1981	0
NA_vRNA	191	1328	12
PA_vRNA	285	1903	0
PB1_vRNA	434	2007	72
PA_vRNA	356	1919	362
PA_vRNA	520	1825	30
PB2_vRNA	173	2215	15
PA_vRNA	242	2058	33
PA_vRNA	355	1920	1
PA_vRNA	404	1923	6
PA_vRNA	480	1869	5
PA_vRNA	159	2064	1
PB2_vRNA	718	1719	0
PB2_vRNA	456	1995	1
PA_vRNA	170	2046	12
PB1_vRNA	307	2151	49
PB1_vRNA	357	1931	1
PB2_vRNA	389	2016	13
PA_vRNA	276	2091	2
PB2_vRNA	150	331	1
PA_vRNA	389	1956	25
PA_vRNA	174	2028	5
PA_vRNA	397	1921	1
PA_vRNA	407	1918	25
NA_vRNA	188	1284	21
PB1_vRNA	261	2148	34
PA_vRNA	1971	2040	8
PA_vRNA	652	1803	5
PB2_vRNA	691	1777	11
PA_vRNA	365	1958	182
PB2_vRNA	317	2085	2
PA_vRNA	379	2067	13
PA_vRNA	350	2055	77
PA_vRNA	269	280	52
PA_vRNA	256	304	10
PA_vRNA	446	2205	121
PA_vRNA	218	2076	50
PA_vRNA	320	1982	28
PB1_vRNA	270	2077	110
PA_vRNA	294	1856	1
PB1_vRNA	242	2179	0
PB2_vRNA	424	1980	1
PB2_vRNA	218	2134	3169
PA_vRNA	294	2001	6
PB1_vRNA	220	2015	56
PB2_vRNA	413	2034	1
PB1_vRNA	443	1977	30
PA_vRNA	522	1967	62
PB2_vRNA	1184	1994	64
PB1_vRNA	467	2010	19
PB2_vRNA	291	2153	7
PA_vRNA	370	1944	16
PB1_vRNA	202	2165	1
NA_vRNA	220	1366	2
PA_vRNA	498	1959	1
PB2_vRNA	177	2015	5
PB2_vRNA	328	2058	24
PB1_vRNA	385	2045	468
PA_vRNA	1674	1718	6
PA_vRNA	239	2051	12
PB2_vRNA	458	1983	5
PA_vRNA	317	2067	35
PB2_vRNA	242	2211	2
NA_vRNA	218	1269	1
PA_vRNA	265	2109	1
PA_vRNA	268	2053	1
PB2_vRNA	148	1558	61
PB2_vRNA	236	2163	2
PB1_vRNA	244	2233	15
PB1_vRNA	462	2002	572
PA_vRNA	490	1936	7
PB1_vRNA	138	2215	1
PB2_vRNA	455	1977	78
PB2_vRNA	306	2023	140
PA_vRNA	376	2105	4
PA_vRNA	408	2001	0
PB1_vRNA	202	2166	304
PA_vRNA	287	2147	6
PB1_vRNA	235	2135	3
PA_vRNA	253	1985	0
PB1_vRNA	733	1702	123
PB2_vRNA	244	2113	0
PA_vRNA	311	1932	2
PB1_vRNA	337	2181	5
PB1_vRNA	404	2034	2
PA_vRNA	272	1604	0
PB1_vRNA	487	2034	24
NA_vRNA	216	1247	0
NA_vRNA	195	1317	3
PA_vRNA	291	2026	16
PA_vRNA	219	2100	12
PB2_vRNA	221	2223	17
PB1_vRNA	347	2058	82
PA_vRNA	286	2064	3
PA_vRNA	476	554	11
PB2_vRNA	282	2172	6
PA_vRNA	480	1916	40
PB1_vRNA	532	2021	16
PA_vRNA	554	2128	252
NS_vRNA	564	854	0
PB1_vRNA	178	2224	99
PB1_vRNA	315	2156	11
PB2_vRNA	524	2015	7
PB2_vRNA	354	2039	8
PA_vRNA	293	2010	4
PA_vRNA	238	2076	3
PA_vRNA	352	2005	188
PB1_vRNA	950	1731	9
PA_vRNA	467	1858	1993
PB2_vRNA	386	2083	157
PB1_vRNA	240	2132	9
PB1_vRNA	309	2141	39
PB1_vRNA	314	2164	0
PB1_vRNA	388	2064	5
PB2_vRNA	339	2027	16
PA_vRNA	350	2059	1
PA_vRNA	558	1888	7
PB1_vRNA	404	2135	1222
PA_vRNA	373	1908	0
PA_vRNA	402	2172	4
