segment	fivePrime	threePrime	counts
PA_vRNA	233	1998	0
PB1_vRNA	666	1701	44
PA_vRNA	166	1809	0
PB2_vRNA	541	1890	324
PA_vRNA	221	2095	0
PB2_vRNA	368	2025	153
PA_vRNA	2139	2150	50
PA_vRNA	531	2088	166
PB2_vRNA	263	2091	13
PA_vRNA	362	1880	119
PA_vRNA	242	2025	0
PB2_vRNA	380	2125	7
PB1_vRNA	244	264	2
PB1_vRNA	273	2125	8
PB2_vRNA	471	1995	6
PA_vRNA	506	1920	3902
NA_vRNA	193	1320	2
PB2_vRNA	574	1892	0
PB1_vRNA	569	1894	3
PA_vRNA	274	2031	1
PB2_vRNA	290	2106	2
PA_vRNA	164	1999	1
PA_vRNA	176	2139	2
PA_vRNA	454	1802	15
PB1_vRNA	445	2024	4
PB1_vRNA	287	2072	4
PB2_vRNA	241	2181	1
PA_vRNA	312	2058	20
PB1_vRNA	253	2075	1
PB2_vRNA	438	1820	6
PB2_vRNA	270	2100	3
PA_vRNA	452	2064	11
PB2_vRNA	455	2023	18
PA_vRNA	485	1837	59
PB1_vRNA	429	2022	20
PB1_vRNA	369	1968	1
PB2_vRNA	112	2037	0
PA_vRNA	472	1889	12
NA_vRNA	205	1259	4
NA_vRNA	213	1334	5
PA_vRNA	612	1733	1
PB1_vRNA	392	2252	4
PA_vRNA	321	1882	113
NA_vRNA	95	1261	5
PA_vRNA	354	1999	9
NP_vRNA	237	1432	4
PB2_vRNA	461	1918	261
PB1_vRNA	202	2219	3
PA_vRNA	317	1825	279
PA_vRNA	363	1905	2
PB2_vRNA	1561	2121	3
PA_vRNA	317	2064	0
PB2_vRNA	288	2165	14
PB2_vRNA	479	1971	0
PA_vRNA	247	2052	1
PA_vRNA	539	1878	0
PB1_vRNA	447	1879	1243
PB2_vRNA	635	651	1
PB1_vRNA	351	2151	8
PA_vRNA	334	2011	16
PA_vRNA	293	2033	9
PA_vRNA	453	1998	5
PB1_vRNA	358	2154	5
PA_vRNA	1918	1958	1
PA_vRNA	265	1985	1
PB1_vRNA	366	2065	2
PB1_vRNA	193	2192	2
PB2_vRNA	401	2033	0
PB2_vRNA	207	2130	188
PA_vRNA	436	1938	0
PB2_vRNA	314	2084	1
PB1_vRNA	413	2010	32
PB2_vRNA	466	1948	11
PB1_vRNA	348	2151	4
PB2_vRNA	193	2087	18
PB1_vRNA	515	2044	0
PB2_vRNA	390	2035	2
PA_vRNA	1951	2014	5
PA_vRNA	249	2105	6
PA_vRNA	123	151	2
PA_vRNA	314	2065	10
PB1_vRNA	203	2181	11
PB2_vRNA	600	1860	11
PB2_vRNA	213	2234	4
PA_vRNA	335	2055	7
PB2_vRNA	292	2187	27
PB1_vRNA	446	2046	4
PA_vRNA	425	1980	6
PA_vRNA	476	1869	2
PB1_vRNA	375	2182	10
PA_vRNA	207	2075	29
PA_vRNA	471	1860	22
PB2_vRNA	190	2113	2
PB2_vRNA	2127	2145	34
PB1_vRNA	368	2034	4
PB1_vRNA	356	2086	54
PA_vRNA	347	1963	9
PA_vRNA	376	2059	39
PB1_vRNA	219	385	5
PB2_vRNA	416	2039	13
PB2_vRNA	423	2038	4
PB1_vRNA	433	2028	4
PB1_vRNA	262	2161	0
PB2_vRNA	551	1882	1462
PA_vRNA	596	1607	4
PA_vRNA	213	2047	4
PB1_vRNA	126	184	2
PB2_vRNA	242	2112	0
PB1_vRNA	450	1991	59
PB1_vRNA	625	1826	36
NA_vRNA	653	1326	55
PB2_vRNA	623	1883	110
PA_vRNA	564	1677	16
PB2_vRNA	291	1995	63
PA_vRNA	287	2012	6
M_vRNA	161	965	1
PA_vRNA	2072	2094	48
PB2_vRNA	274	2082	17
PA_vRNA	397	1934	10
PB2_vRNA	426	2013	5
PB1_vRNA	317	2157	4
NP_vRNA	84	208	0
PB2_vRNA	181	1688	2
PB2_vRNA	389	2063	413
PB2_vRNA	233	2177	39
HA_vRNA	231	1617	2
PA_vRNA	1934	2049	16
PB2_vRNA	524	1910	42
PA_vRNA	364	1961	188
PB2_vRNA	173	2064	0
NA_vRNA	189	1339	1
PA_vRNA	385	2007	2168
PB2_vRNA	381	2087	33
PA_vRNA	444	1886	0
HA_vRNA	349	1395	1
PA_vRNA	317	2095	3
PB2_vRNA	455	2006	7
PB2_vRNA	355	2048	1
PA_vRNA	376	1933	2
PA_vRNA	254	1971	0
NA_vRNA	185	1308	12
PA_vRNA	274	1996	42
PB2_vRNA	264	1848	100
PB2_vRNA	313	2183	3
PA_vRNA	312	1999	55
PB1_vRNA	367	2056	0
PB2_vRNA	357	2080	1
PA_vRNA	225	1835	0
PB2_vRNA	487	1961	9
NP_vRNA	806	856	0
PB1_vRNA	272	2023	0
PB1_vRNA	462	2023	84
PB1_vRNA	449	1996	0
PB2_vRNA	253	2157	1
PB2_vRNA	358	2018	6
NA_vRNA	386	1025	4
PB2_vRNA	204	2193	1
PB1_vRNA	520	2017	1
PB2_vRNA	473	1933	81
PB1_vRNA	235	2076	11
PB2_vRNA	313	2072	18
PB1_vRNA	238	267	5
PB2_vRNA	358	2019	1
PB1_vRNA	397	2021	3
PA_vRNA	231	2089	0
PB2_vRNA	1534	2255	8
PB1_vRNA	438	2102	5
PB2_vRNA	253	2235	16
PA_vRNA	213	2074	1
NA_vRNA	299	1198	100
PA_vRNA	321	1989	1
PB1_vRNA	289	2151	8
PA_vRNA	222	2053	1
PA_vRNA	470	1857	3
PA_vRNA	430	1802	2
PA_vRNA	220	2037	14
PA_vRNA	264	2132	3
NA_vRNA	370	1234	0
PB1_vRNA	713	1718	3
PA_vRNA	525	1883	1520
PB2_vRNA	197	2083	4
PB2_vRNA	386	1984	2
PB1_vRNA	713	1789	21
PB2_vRNA	428	1973	16
PB2_vRNA	300	2114	4
PA_vRNA	420	1931	51
PA_vRNA	444	1858	14
PA_vRNA	467	1903	83
PA_vRNA	537	1978	15
PB1_vRNA	312	2151	354
PB2_vRNA	282	2163	13
PA_vRNA	238	2080	0
PB2_vRNA	274	2260	10
PB2_vRNA	348	2103	7
PA_vRNA	269	2076	12
PA_vRNA	333	2033	1
PA_vRNA	277	2030	38
PB2_vRNA	524	1950	6
PB1_vRNA	638	1761	0
PB2_vRNA	204	2222	258
PB1_vRNA	219	2196	499
PA_vRNA	279	2088	3
PB2_vRNA	191	1874	2
PB1_vRNA	298	2133	6
PB2_vRNA	308	2059	1351
PB1_vRNA	352	2122	108
PB1_vRNA	504	2055	15
PA_vRNA	889	985	2
