	segment	fivePrime	threePrime	counts
0	NS_vRNA	49	545	1
1	NS_vRNA	63	530	1
2	NS_vRNA	85	650	2
3	NS_vRNA	102	666	3
4	NS_vRNA	109	460	5
5	NS_vRNA	113	155	1
6	NS_vRNA	120	144	1
7	NS_vRNA	122	160	1
8	NS_vRNA	123	689	3
9	NS_vRNA	130	747	1
10	NS_vRNA	131	691	1
11	NS_vRNA	137	674	1
12	NS_vRNA	137	772	2
13	NS_vRNA	140	639	8
14	NS_vRNA	144	236	3
15	NS_vRNA	148	738	1
16	NS_vRNA	150	166	1
17	NS_vRNA	155	770	1
18	NS_vRNA	158	825	2
19	NS_vRNA	159	580	2
20	NS_vRNA	160	197	1
21	NS_vRNA	160	804	2
22	NS_vRNA	165	243	1
23	NS_vRNA	167	731	1
24	NS_vRNA	174	719	3
25	NS_vRNA	176	841	2
26	NS_vRNA	181	256	1
27	NS_vRNA	182	798	2
28	NS_vRNA	183	749	1
29	NS_vRNA	187	201	1
30	NS_vRNA	187	786	2
31	NS_vRNA	198	605	1
32	NS_vRNA	201	589	2
33	NS_vRNA	205	561	1
34	NS_vRNA	207	863	1
35	NS_vRNA	208	654	1
36	NS_vRNA	209	651	1
37	NS_vRNA	212	674	1
38	NS_vRNA	215	254	4
39	NS_vRNA	215	625	1
40	NS_vRNA	216	617	1
41	NS_vRNA	217	827	3
42	NS_vRNA	218	565	1
43	NS_vRNA	218	737	1
44	NS_vRNA	219	546	1
45	NS_vRNA	222	511	1
46	NS_vRNA	224	241	1
47	NS_vRNA	225	712	3
48	NS_vRNA	226	253	3
49	NS_vRNA	230	622	1
50	NS_vRNA	230	629	1
51	NS_vRNA	230	663	1
52	NS_vRNA	233	665	3
53	NS_vRNA	238	355	1
54	NS_vRNA	240	524	1
55	NS_vRNA	245	645	1
56	NS_vRNA	246	663	2
57	NS_vRNA	247	273	1
58	NS_vRNA	249	263	1
59	NS_vRNA	250	700	2
60	NS_vRNA	260	735	1
61	NS_vRNA	262	806	7
62	NS_vRNA	263	658	1
63	NS_vRNA	263	691	3
64	NS_vRNA	263	740	1
65	NS_vRNA	270	642	1
66	NS_vRNA	273	613	6
67	NS_vRNA	275	553	1
68	NS_vRNA	281	679	1
69	NS_vRNA	287	735	15
70	NS_vRNA	288	693	1
71	NS_vRNA	294	653	4
72	NS_vRNA	301	616	1
73	NS_vRNA	305	733	1
74	NS_vRNA	307	645	1
75	NS_vRNA	307	816	1
76	NS_vRNA	309	498	1
77	NS_vRNA	309	513	1
78	NS_vRNA	320	369	1
79	NS_vRNA	321	631	8
80	NS_vRNA	322	613	1
81	NS_vRNA	331	794	3
82	NS_vRNA	337	800	3
83	NS_vRNA	338	545	1
84	NS_vRNA	340	600	3
85	NS_vRNA	341	812	1
86	NS_vRNA	343	691	14
87	NS_vRNA	346	689	1
88	NS_vRNA	347	574	2
89	NS_vRNA	354	369	1
90	NS_vRNA	354	478	2
91	NS_vRNA	355	542	1
92	NS_vRNA	355	672	1
93	NS_vRNA	358	429	1
94	NS_vRNA	359	433	1
95	NS_vRNA	365	838	3
96	NS_vRNA	369	576	1
97	NS_vRNA	372	520	1
98	NS_vRNA	382	397	1
99	NS_vRNA	394	624	1
100	NS_vRNA	450	492	1
101	NS_vRNA	457	493	2
102	NS_vRNA	458	479	2
103	NS_vRNA	473	504	3
104	NS_vRNA	478	536	1
105	NS_vRNA	478	538	1
106	NS_vRNA	499	523	1
107	NS_vRNA	502	556	2
108	NS_vRNA	519	534	1
109	NS_vRNA	520	615	4
110	NS_vRNA	524	563	2
111	NS_vRNA	541	799	2
112	NS_vRNA	564	854	1
113	NS_vRNA	566	623	1
114	NS_vRNA	572	849	8
115	NS_vRNA	579	735	1
116	NS_vRNA	625	651	2
117	NS_vRNA	627	788	1
118	NS_vRNA	634	654	1
119	NS_vRNA	635	651	1
120	NS_vRNA	659	716	2
121	NS_vRNA	660	707	2
122	NS_vRNA	676	717	1
123	NS_vRNA	683	703	1
124	NS_vRNA	684	730	1
125	NS_vRNA	684	731	1
126	NS_vRNA	687	699	1
127	NS_vRNA	711	731	3
128	NS_vRNA	719	770	1
129	NS_vRNA	734	761	1
130	NS_vRNA	740	789	1
131	NS_vRNA	770	815	2
132	NS_vRNA	780	813	1
133	NS_vRNA	781	822	2
134	NS_vRNA	781	824	1
