segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
M_vRNA	273	675	690	1019	2
M_vRNA	398	677	690	1019	2
M_vRNA	433	637	690	1019	1
M_vRNA	593	629	690	1019	4
M_vRNA	600	622	690	1019	5
NA_vRNA	63	807	1322	1378	1
NA_vRNA	76	93	352	1264	4
NA_vRNA	76	93	1326	1336	4
NA_vRNA	78	235	343	1256	57
NA_vRNA	78	235	1322	1376	44
NA_vRNA	79	1034	1222	1318	3
NA_vRNA	85	1071	1145	1257	145
NA_vRNA	85	1071	1296	1327	120
NA_vRNA	103	511	622	1258	1
NA_vRNA	103	511	1322	1378	1
NA_vRNA	122	1257	1314	1345	11
NA_vRNA	125	499	650	1327	10
NA_vRNA	128	1103	1239	1280	43
NA_vRNA	149	1130	1280	1326	1
NA_vRNA	166	1240	1305	1327	6
NA_vRNA	186	1186	1284	1349	44
NA_vRNA	187	1130	1225	1350	7
NA_vRNA	188	1257	1296	1345	174
NA_vRNA	195	236	345	1335	23
NA_vRNA	195	1257	1304	1378	3
NA_vRNA	195	1257	1313	1378	4
NA_vRNA	203	455	504	1258	10
NA_vRNA	203	455	1224	1258	1
NA_vRNA	203	455	1326	1372	4
NA_vRNA	234	1132	1314	1327	3
NA_vRNA	234	1194	1307	1327	47
NA_vRNA	235	1230	1295	1378	19
NA_vRNA	307	1173	1255	1264	11
NA_vRNA	308	1155	1247	1298	36
NA_vRNA	308	1155	1296	1350	87
NA_vRNA	310	1228	1314	1327	1
NA_vRNA	343	1256	1322	1376	96
NA_vRNA	352	1264	1326	1336	23
NA_vRNA	355	725	925	1144	18
NA_vRNA	382	905	1257	1316	1
NA_vRNA	385	986	1314	1327	3
NA_vRNA	504	1258	1326	1372	7
NA_vRNA	953	1230	1322	1378	1
NA_vRNA	1145	1257	1296	1327	197
NA_vRNA	1224	1258	1326	1372	2
NP_vRNA	196	343	439	1300	1
PA_vRNA	39	261	297	2045	1
PA_vRNA	39	261	302	1994	1
PA_vRNA	39	261	487	1802	1
PA_vRNA	55	1949	1975	2089	1
PA_vRNA	63	309	385	2007	1
PA_vRNA	63	309	387	1938	1
PA_vRNA	65	326	328	1953	1
PA_vRNA	65	326	329	1844	1
PA_vRNA	65	326	385	1948	1
PA_vRNA	65	326	1977	2023	1
PA_vRNA	65	326	1988	2057	1
PA_vRNA	65	1966	2041	2057	1
PA_vRNA	65	1973	1976	2005	1
PA_vRNA	66	116	163	2104	2
PA_vRNA	66	116	174	2098	1
PA_vRNA	66	517	538	1861	2
PA_vRNA	66	2046	2081	2097	2
PA_vRNA	68	143	163	2104	1
PA_vRNA	68	143	174	2098	1
PA_vRNA	68	143	214	2052	1
PA_vRNA	68	143	257	2123	1
PA_vRNA	68	143	275	2051	2
PA_vRNA	72	262	266	2032	1
PA_vRNA	72	262	275	1848	1
PA_vRNA	72	262	275	2002	3
PA_vRNA	72	262	275	2042	1
PA_vRNA	72	262	275	2051	1
PA_vRNA	72	262	276	303	1
PA_vRNA	72	262	277	1943	1
PA_vRNA	72	262	277	1962	1
PA_vRNA	72	262	277	2034	11
PA_vRNA	72	262	277	2050	1
PA_vRNA	72	262	277	2070	3
PA_vRNA	72	262	280	2067	1
PA_vRNA	72	262	281	2070	1
PA_vRNA	72	262	281	2074	23
PA_vRNA	72	262	282	1988	1
PA_vRNA	72	262	282	2007	1
PA_vRNA	72	262	283	1996	4
PA_vRNA	72	262	283	2029	1
PA_vRNA	72	262	283	2032	4
PA_vRNA	72	262	283	2047	1
PA_vRNA	72	262	283	2064	87
PA_vRNA	72	262	283	2072	2
PA_vRNA	72	262	284	1989	1
PA_vRNA	72	262	284	1996	1
PA_vRNA	72	262	284	2032	2
PA_vRNA	72	262	284	2074	2
PA_vRNA	72	262	284	2102	16
PA_vRNA	72	262	284	2157	2
PA_vRNA	72	262	285	316	1
PA_vRNA	72	262	285	369	8
PA_vRNA	72	262	285	2003	4
PA_vRNA	72	262	285	2009	148
PA_vRNA	72	262	285	2025	17
PA_vRNA	72	262	285	2052	1
PA_vRNA	72	262	285	2073	23
PA_vRNA	72	262	285	2074	44
PA_vRNA	72	262	285	2192	1
PA_vRNA	72	262	286	1988	1
PA_vRNA	72	262	286	2036	1
PA_vRNA	72	262	286	2045	4
PA_vRNA	72	262	286	2077	48
PA_vRNA	72	262	287	1909	3
PA_vRNA	72	262	287	1970	39
PA_vRNA	72	262	287	2050	4
PA_vRNA	72	262	287	2106	1
PA_vRNA	72	262	288	1939	2
PA_vRNA	72	262	288	2069	7
PA_vRNA	72	262	289	2054	4
PA_vRNA	72	262	290	1842	7
PA_vRNA	72	262	290	1988	22
PA_vRNA	72	262	290	1994	4
PA_vRNA	72	262	290	2001	2
PA_vRNA	72	262	290	2020	4
PA_vRNA	72	262	290	2044	108
PA_vRNA	72	262	290	2051	1
PA_vRNA	72	262	290	2068	7
PA_vRNA	72	262	291	1932	1
PA_vRNA	72	262	291	1954	2
PA_vRNA	72	262	291	1962	1
PA_vRNA	72	262	291	1978	7
PA_vRNA	72	262	291	2051	12
PA_vRNA	72	262	292	1962	18
PA_vRNA	72	262	292	2000	1
PA_vRNA	72	262	292	2001	3
PA_vRNA	72	262	292	2004	1
PA_vRNA	72	262	292	2014	1
PA_vRNA	72	262	292	2026	39
PA_vRNA	72	262	292	2033	2
PA_vRNA	72	262	292	2038	1
PA_vRNA	72	262	292	2042	1
PA_vRNA	72	262	292	2051	1
PA_vRNA	72	262	292	2125	1
PA_vRNA	72	262	292	2143	2
PA_vRNA	72	262	293	1952	34
PA_vRNA	72	262	293	1954	1
PA_vRNA	72	262	293	1962	2
PA_vRNA	72	262	293	1966	2
PA_vRNA	72	262	293	1967	15
PA_vRNA	72	262	293	1978	2
PA_vRNA	72	262	293	1986	7
PA_vRNA	72	262	293	2026	1
PA_vRNA	72	262	293	2028	80
PA_vRNA	72	262	293	2033	2
PA_vRNA	72	262	293	2034	1
PA_vRNA	72	262	293	2037	13
PA_vRNA	72	262	293	2039	17
PA_vRNA	72	262	293	2046	3
PA_vRNA	72	262	293	2049	3
PA_vRNA	72	262	293	2062	5
PA_vRNA	72	262	293	2108	1
PA_vRNA	72	262	293	2142	123
PA_vRNA	72	262	294	1814	342
PA_vRNA	72	262	294	1960	11
PA_vRNA	72	262	294	2008	9
PA_vRNA	72	262	294	2045	2
PA_vRNA	72	262	294	2051	7
PA_vRNA	72	262	294	2053	4
PA_vRNA	72	262	294	2054	2
PA_vRNA	72	262	294	2055	87
PA_vRNA	72	262	294	2057	5
PA_vRNA	72	262	294	2065	3
PA_vRNA	72	262	294	2076	1
PA_vRNA	72	262	295	2011	725
PA_vRNA	72	262	295	2019	110
PA_vRNA	72	262	295	2044	1
PA_vRNA	72	262	295	2047	3
PA_vRNA	72	262	295	2051	1
PA_vRNA	72	262	295	2053	1
PA_vRNA	72	262	295	2097	4
PA_vRNA	72	262	296	370	16
PA_vRNA	72	262	296	1977	5
PA_vRNA	72	262	296	2001	52
PA_vRNA	72	262	296	2002	166
PA_vRNA	72	262	296	2009	2
PA_vRNA	72	262	296	2022	79
PA_vRNA	72	262	296	2024	2
PA_vRNA	72	262	296	2025	394
PA_vRNA	72	262	296	2028	2
PA_vRNA	72	262	296	2030	2
PA_vRNA	72	262	296	2032	15
PA_vRNA	72	262	296	2051	9
PA_vRNA	72	262	296	2052	122
PA_vRNA	72	262	296	2057	246
PA_vRNA	72	262	296	2068	57
PA_vRNA	72	262	296	2156	2
PA_vRNA	72	262	297	309	1
PA_vRNA	72	262	297	362	79
PA_vRNA	72	262	297	1969	90
PA_vRNA	72	262	297	1982	62
PA_vRNA	72	262	297	2024	26
PA_vRNA	72	262	297	2036	44
PA_vRNA	72	262	297	2038	1
PA_vRNA	72	262	297	2045	1032
PA_vRNA	72	262	297	2048	280
PA_vRNA	72	262	297	2083	25
PA_vRNA	72	262	298	433	1
PA_vRNA	72	262	298	1663	2
PA_vRNA	72	262	298	1909	1
PA_vRNA	72	262	298	1941	5
PA_vRNA	72	262	298	1965	3
PA_vRNA	72	262	298	1977	4
PA_vRNA	72	262	298	2044	16
PA_vRNA	72	262	298	2158	822
PA_vRNA	72	262	299	358	1
PA_vRNA	72	262	299	1933	1
PA_vRNA	72	262	299	2025	10
PA_vRNA	72	262	299	2057	30
PA_vRNA	72	262	299	2090	1
PA_vRNA	72	262	300	2014	1
PA_vRNA	72	262	300	2026	1
PA_vRNA	72	262	300	2043	12
PA_vRNA	72	262	301	356	11
PA_vRNA	72	262	301	1998	1
PA_vRNA	72	262	301	2046	8
PA_vRNA	72	262	301	2106	43
PA_vRNA	72	262	302	1991	3
PA_vRNA	72	262	302	1994	368
PA_vRNA	72	262	302	2002	1
PA_vRNA	72	262	302	2008	1
PA_vRNA	72	262	302	2011	1
PA_vRNA	72	262	302	2020	41
PA_vRNA	72	262	302	2026	96
PA_vRNA	72	262	302	2035	1
PA_vRNA	72	262	302	2055	1
PA_vRNA	72	262	302	2083	2
PA_vRNA	72	262	303	1975	5
PA_vRNA	72	262	303	2010	3
PA_vRNA	72	262	303	2053	17
PA_vRNA	72	262	303	2108	2
PA_vRNA	72	262	304	1953	3
PA_vRNA	72	262	304	1983	20
PA_vRNA	72	262	304	2027	53
PA_vRNA	72	262	304	2034	43
PA_vRNA	72	262	304	2048	58
PA_vRNA	72	262	304	2049	3
PA_vRNA	72	262	304	2050	23
PA_vRNA	72	262	304	2063	1
PA_vRNA	72	262	304	2070	90
PA_vRNA	72	262	305	1948	3
PA_vRNA	72	262	305	2024	1
PA_vRNA	72	262	305	2026	7
PA_vRNA	72	262	306	1977	1
PA_vRNA	72	262	306	1995	24
PA_vRNA	72	262	306	2041	1
PA_vRNA	72	262	306	2068	2
PA_vRNA	72	262	307	1845	9
PA_vRNA	72	262	307	1882	17
PA_vRNA	72	262	307	1928	17
PA_vRNA	72	262	307	2000	6
PA_vRNA	72	262	307	2001	30
PA_vRNA	72	262	307	2009	40
PA_vRNA	72	262	307	2022	11
PA_vRNA	72	262	307	2032	39
PA_vRNA	72	262	307	2050	891
PA_vRNA	72	262	307	2052	2
PA_vRNA	72	262	307	2068	36
PA_vRNA	72	262	308	1960	34
PA_vRNA	72	262	308	1982	30
PA_vRNA	72	262	308	1995	6
PA_vRNA	72	262	308	2000	1
PA_vRNA	72	262	308	2003	67
PA_vRNA	72	262	308	2021	1
PA_vRNA	72	262	308	2032	217
PA_vRNA	72	262	308	2036	5
PA_vRNA	72	262	308	2045	1
PA_vRNA	72	262	308	2069	1
PA_vRNA	72	262	308	2144	8
PA_vRNA	72	262	309	324	1
PA_vRNA	72	262	309	1976	1
PA_vRNA	72	262	309	2017	3
PA_vRNA	72	262	309	2049	7
PA_vRNA	72	262	309	2074	7
PA_vRNA	72	262	310	1988	6
PA_vRNA	72	262	310	2012	2
PA_vRNA	72	262	310	2043	10
PA_vRNA	72	262	310	2091	2
PA_vRNA	72	262	311	1942	1
PA_vRNA	72	262	311	2050	1
PA_vRNA	72	262	312	2017	3
PA_vRNA	72	262	312	2025	2
PA_vRNA	72	262	312	2053	9
PA_vRNA	72	262	312	2058	2
PA_vRNA	72	262	313	1853	4
PA_vRNA	72	262	313	1940	87
PA_vRNA	72	262	313	1986	2
PA_vRNA	72	262	313	2005	265
PA_vRNA	72	262	313	2045	16
PA_vRNA	72	262	313	2059	195
PA_vRNA	72	262	313	2068	1
PA_vRNA	72	262	313	2082	3
PA_vRNA	72	262	313	2106	1
PA_vRNA	72	262	314	358	1
PA_vRNA	72	262	314	2025	1
PA_vRNA	72	262	314	2052	14
PA_vRNA	72	262	314	2059	1
PA_vRNA	72	262	314	2065	2
PA_vRNA	72	262	315	1901	3
PA_vRNA	72	262	315	1935	2
PA_vRNA	72	262	315	1968	3
PA_vRNA	72	262	315	2002	2
PA_vRNA	72	262	315	2007	1
PA_vRNA	72	262	315	2013	6
PA_vRNA	72	262	315	2038	4
PA_vRNA	72	262	315	2075	11
PA_vRNA	72	262	315	2104	3
PA_vRNA	72	262	315	2116	1
PA_vRNA	72	262	316	1932	2
PA_vRNA	72	262	316	1933	1
PA_vRNA	72	262	316	1949	4
PA_vRNA	72	262	316	1994	1110
PA_vRNA	72	262	316	1999	1
PA_vRNA	72	262	316	2024	1
PA_vRNA	72	262	316	2026	2
PA_vRNA	72	262	316	2048	3
PA_vRNA	72	262	317	1825	16
PA_vRNA	72	262	317	1903	1
PA_vRNA	72	262	317	1962	16
PA_vRNA	72	262	317	1996	17
PA_vRNA	72	262	317	2007	2
PA_vRNA	72	262	317	2025	1
PA_vRNA	72	262	317	2028	8
PA_vRNA	72	262	317	2058	1
PA_vRNA	72	262	318	1905	11
PA_vRNA	72	262	318	1919	56
PA_vRNA	72	262	318	1977	432
PA_vRNA	72	262	318	1982	1
PA_vRNA	72	262	318	2028	76
PA_vRNA	72	262	318	2048	1
PA_vRNA	72	262	318	2049	70
PA_vRNA	72	262	318	2054	5
PA_vRNA	72	262	318	2191	25
PA_vRNA	72	262	319	1951	2
PA_vRNA	72	262	319	1963	52
PA_vRNA	72	262	319	2032	1
PA_vRNA	72	262	319	2049	2
PA_vRNA	72	262	319	2052	15
PA_vRNA	72	262	319	2054	4
PA_vRNA	72	262	319	2056	3
PA_vRNA	72	262	319	2058	1
PA_vRNA	72	262	319	2064	2
PA_vRNA	72	262	319	2087	3
PA_vRNA	72	262	319	2097	2
PA_vRNA	72	262	319	2111	4
PA_vRNA	72	262	320	1953	1
PA_vRNA	72	262	320	1960	2
PA_vRNA	72	262	320	1972	10
PA_vRNA	72	262	320	1986	2
PA_vRNA	72	262	320	1988	640
PA_vRNA	72	262	320	1997	1
PA_vRNA	72	262	320	1998	4
PA_vRNA	72	262	320	1999	22
PA_vRNA	72	262	320	2042	3
PA_vRNA	72	262	320	2044	1
PA_vRNA	72	262	320	2049	47
PA_vRNA	72	262	320	2053	9
PA_vRNA	72	262	320	2054	1
PA_vRNA	72	262	320	2056	8
PA_vRNA	72	262	320	2058	1
PA_vRNA	72	262	320	2064	6
PA_vRNA	72	262	320	2070	4
PA_vRNA	72	262	321	1862	5
PA_vRNA	72	262	321	1882	3
PA_vRNA	72	262	321	1916	1
PA_vRNA	72	262	321	1919	6
PA_vRNA	72	262	321	1977	532
PA_vRNA	72	262	321	1980	1
PA_vRNA	72	262	321	1994	256
PA_vRNA	72	262	321	1998	1
PA_vRNA	72	262	321	2025	4
PA_vRNA	72	262	321	2031	35
PA_vRNA	72	262	321	2074	1
PA_vRNA	72	262	321	2095	7
PA_vRNA	72	262	322	2003	5
PA_vRNA	72	262	322	2021	383
PA_vRNA	72	262	322	2043	13
PA_vRNA	72	262	322	2127	1
PA_vRNA	72	262	323	1970	2
PA_vRNA	72	262	323	2057	8
PA_vRNA	72	262	324	1587	2
PA_vRNA	72	262	324	1698	17
PA_vRNA	72	262	324	1906	3
PA_vRNA	72	262	325	1495	2
PA_vRNA	72	262	325	1930	1
PA_vRNA	72	262	326	1903	8
PA_vRNA	72	262	326	1925	13
PA_vRNA	72	262	327	2016	27
PA_vRNA	72	262	328	1953	2
PA_vRNA	72	262	328	2024	156
PA_vRNA	72	262	328	2070	2
PA_vRNA	72	262	329	1822	261
PA_vRNA	72	262	329	1844	1624
PA_vRNA	72	262	329	1845	111
PA_vRNA	72	262	329	2007	616
PA_vRNA	72	262	329	2009	11
PA_vRNA	72	262	329	2019	18
PA_vRNA	72	262	329	2025	58
PA_vRNA	72	262	329	2052	21
PA_vRNA	72	262	329	2068	17
PA_vRNA	72	262	329	2075	10
PA_vRNA	72	262	330	1823	1
PA_vRNA	72	262	330	1948	1
PA_vRNA	72	262	330	1987	1
PA_vRNA	72	262	330	1992	2
PA_vRNA	72	262	330	2012	11
PA_vRNA	72	262	330	2021	95
PA_vRNA	72	262	330	2045	3
PA_vRNA	72	262	330	2089	1
PA_vRNA	72	262	331	1970	3
PA_vRNA	72	262	331	2022	1
PA_vRNA	72	262	332	2044	9
PA_vRNA	72	262	333	1849	4
PA_vRNA	72	262	333	1960	1
PA_vRNA	72	262	333	1982	12
PA_vRNA	72	262	333	1996	1
PA_vRNA	72	262	333	2013	1
PA_vRNA	72	262	334	1794	411
PA_vRNA	72	262	334	1795	2
PA_vRNA	72	262	334	1840	2
PA_vRNA	72	262	334	1916	1
PA_vRNA	72	262	334	1955	10
PA_vRNA	72	262	334	1959	12
PA_vRNA	72	262	334	1963	3
PA_vRNA	72	262	334	1972	1
PA_vRNA	72	262	334	1977	11
PA_vRNA	72	262	334	1984	3
PA_vRNA	72	262	334	1986	2
PA_vRNA	72	262	334	1994	4
PA_vRNA	72	262	334	2014	18
PA_vRNA	72	262	334	2015	1
PA_vRNA	72	262	334	2019	2
PA_vRNA	72	262	334	2032	16
PA_vRNA	72	262	334	2049	3
PA_vRNA	72	262	334	2052	2
PA_vRNA	72	262	335	1767	5
PA_vRNA	72	262	335	1945	4
PA_vRNA	72	262	335	1974	4
PA_vRNA	72	262	335	2009	20
PA_vRNA	72	262	336	1951	3
PA_vRNA	72	262	336	2000	18
PA_vRNA	72	262	340	1954	4
PA_vRNA	72	262	340	2010	2
PA_vRNA	72	262	340	2050	10
PA_vRNA	72	262	341	2011	3
PA_vRNA	72	262	341	2034	79
PA_vRNA	72	262	342	2025	2
PA_vRNA	72	262	342	2028	1
PA_vRNA	72	262	342	2049	7
PA_vRNA	72	262	342	2057	22
PA_vRNA	72	262	342	2100	1
PA_vRNA	72	262	343	1932	7
PA_vRNA	72	262	343	1996	10
PA_vRNA	72	262	343	2003	13
PA_vRNA	72	262	344	1920	33
PA_vRNA	72	262	344	1990	4
PA_vRNA	72	262	344	2022	6
PA_vRNA	72	262	344	2052	7
PA_vRNA	72	262	345	399	2
PA_vRNA	72	262	345	2018	3
PA_vRNA	72	262	345	2053	1
PA_vRNA	72	262	347	2017	2
PA_vRNA	72	262	347	2139	1
PA_vRNA	72	262	348	1954	6
PA_vRNA	72	262	348	1962	1
PA_vRNA	72	262	348	1983	2
PA_vRNA	72	262	348	1999	1
PA_vRNA	72	262	348	2004	2
PA_vRNA	72	262	348	2010	1
PA_vRNA	72	262	348	2017	2
PA_vRNA	72	262	349	1933	2
PA_vRNA	72	262	349	1963	1
PA_vRNA	72	262	349	1997	2
PA_vRNA	72	262	349	2003	10
PA_vRNA	72	262	349	2017	1
PA_vRNA	72	262	349	2032	1
PA_vRNA	72	262	349	2050	1
PA_vRNA	72	262	349	2073	2
PA_vRNA	72	262	349	2106	1
PA_vRNA	72	262	349	2107	1
PA_vRNA	72	262	349	2136	2
PA_vRNA	72	262	350	1825	37
PA_vRNA	72	262	350	1974	2
PA_vRNA	72	262	350	2004	3
PA_vRNA	72	262	350	2013	1
PA_vRNA	72	262	350	2025	1
PA_vRNA	72	262	350	2053	1
PA_vRNA	72	262	350	2055	1
PA_vRNA	72	262	350	2059	3
PA_vRNA	72	262	350	2068	3
PA_vRNA	72	262	350	2107	3
PA_vRNA	72	262	351	1895	1
PA_vRNA	72	262	351	1910	1
PA_vRNA	72	262	351	1930	1
PA_vRNA	72	262	351	1931	4
PA_vRNA	72	262	351	1974	1
PA_vRNA	72	262	351	1986	2
PA_vRNA	72	262	351	1997	1
PA_vRNA	72	262	351	1998	2
PA_vRNA	72	262	351	2016	1
PA_vRNA	72	262	351	2018	2
PA_vRNA	72	262	351	2022	2
PA_vRNA	72	262	351	2025	2
PA_vRNA	72	262	351	2069	656
PA_vRNA	72	262	351	2086	2
PA_vRNA	72	262	352	1941	28
PA_vRNA	72	262	352	1945	49
PA_vRNA	72	262	352	1955	2
PA_vRNA	72	262	352	2009	1
PA_vRNA	72	262	352	2025	1
PA_vRNA	72	262	352	2032	1
