segment	left	right	count
PB2_vRNA	492	2020	3205
PB2_vRNA	492	1941	4
PB2_vRNA	492	1934	3
PB2_vRNA	492	1955	1
PB2_vRNA	205	2165	7605
PB2_vRNA	205	1657	3
PB2_vRNA	205	2226	20
PB2_vRNA	205	2169	2
PB2_vRNA	205	2123	3
PB2_vRNA	205	2086	4
PB2_vRNA	205	2216	2
PB2_vRNA	205	2182	1
PB2_vRNA	205	2009	2
PB2_vRNA	205	2112	1
PB2_vRNA	205	2064	7
PB2_vRNA	205	2243	1
PB2_vRNA	343	2181	8687
PB2_vRNA	343	2039	9628
PB2_vRNA	343	2073	38
PB2_vRNA	343	2084	588
PB2_vRNA	343	2074	8
PB2_vRNA	343	2017	8
PB2_vRNA	343	2079	17
PB2_vRNA	343	2118	18
PB2_vRNA	343	2023	3
PB2_vRNA	343	1595	10
PB2_vRNA	343	2028	5
PB2_vRNA	343	2078	30
PB2_vRNA	343	2216	9
PB2_vRNA	343	2015	12
PB2_vRNA	343	2016	43
PB2_vRNA	343	2097	7
PB2_vRNA	343	1979	15
PB2_vRNA	343	2107	20
PB2_vRNA	343	2036	39
PB2_vRNA	343	2034	8
PB2_vRNA	343	2201	6
PB2_vRNA	343	1983	11
PB2_vRNA	343	2050	7
PB2_vRNA	343	2060	3
PB2_vRNA	343	2116	30
PB2_vRNA	343	2009	13
PB2_vRNA	343	2011	20
PB2_vRNA	343	1982	4
PB2_vRNA	343	2067	3
PB2_vRNA	343	2010	3
PB2_vRNA	343	2087	9
PB2_vRNA	343	2018	5
PB2_vRNA	343	2138	5
PB2_vRNA	343	1586	4
PB2_vRNA	343	2121	4
PB2_vRNA	343	2100	4
PB2_vRNA	343	2075	1
PB2_vRNA	343	2165	6
PB2_vRNA	343	1720	16
PB2_vRNA	343	2029	3
PB2_vRNA	343	2070	5
PB2_vRNA	343	1986	4
PB2_vRNA	343	2133	1
PB2_vRNA	343	2086	5
PB2_vRNA	343	2047	6
PB2_vRNA	343	2052	4
PB2_vRNA	343	2164	2
PB2_vRNA	343	2151	1
PB2_vRNA	343	2102	1
PB2_vRNA	343	1968	5
PB2_vRNA	343	2180	2
PB2_vRNA	343	2065	2
PB2_vRNA	151	2175	11053
PB2_vRNA	151	1883	61
PB2_vRNA	151	2149	1
PB2_vRNA	210	2137	34189
PB2_vRNA	210	2215	26
PB2_vRNA	210	2162	106
PB2_vRNA	210	280	44
PB2_vRNA	210	2244	10
PB2_vRNA	210	1934	17
PB2_vRNA	210	2168	2
PB2_vRNA	210	2085	21
PB2_vRNA	210	2184	4
PB2_vRNA	210	2124	12
PB2_vRNA	210	2208	5
PB2_vRNA	210	2170	2
PB2_vRNA	210	2211	1
PB2_vRNA	210	2180	1
PB2_vRNA	389	2067	8656
PB2_vRNA	389	2017	49
PB2_vRNA	389	2051	325
PB2_vRNA	389	2041	328
PB2_vRNA	389	2038	185
PB2_vRNA	389	1996	734
PB2_vRNA	389	2066	599
PB2_vRNA	389	2085	214
PB2_vRNA	389	2097	376
PB2_vRNA	389	2125	16
PB2_vRNA	389	1984	33
PB2_vRNA	389	2039	31
PB2_vRNA	389	2025	42
PB2_vRNA	389	2023	16
PB2_vRNA	389	2078	21
PB2_vRNA	389	2089	6
PB2_vRNA	389	2036	49
PB2_vRNA	389	2147	4
PB2_vRNA	389	2073	8
PB2_vRNA	389	2063	24
PB2_vRNA	389	2071	32
PB2_vRNA	389	2040	70
PB2_vRNA	389	2034	19
PB2_vRNA	389	2011	93
PB2_vRNA	389	2083	31
PB2_vRNA	389	2035	67
PB2_vRNA	389	2102	25
PB2_vRNA	389	2064	17
PB2_vRNA	389	2077	1
PB2_vRNA	389	2031	14
PB2_vRNA	389	2076	39
PB2_vRNA	389	2016	55
PB2_vRNA	389	2009	8
PB2_vRNA	389	2203	7
PB2_vRNA	389	1980	4
PB2_vRNA	389	2015	33
PB2_vRNA	389	2074	4
PB2_vRNA	389	1982	7
PB2_vRNA	389	2075	11
PB2_vRNA	389	2091	11
PB2_vRNA	389	2010	14
PB2_vRNA	389	2042	4
PB2_vRNA	389	1912	1
PB2_vRNA	389	1994	9
PB2_vRNA	389	2059	9
PB2_vRNA	389	2069	18
PB2_vRNA	389	1955	4
PB2_vRNA	389	2049	6
PB2_vRNA	389	2092	3
PB2_vRNA	389	2113	2
PB2_vRNA	389	1954	5
PB2_vRNA	389	2088	7
PB2_vRNA	389	2126	5
PB2_vRNA	389	1983	2
PB2_vRNA	389	2043	8
PB2_vRNA	389	2060	4
PB2_vRNA	389	2105	3
PB2_vRNA	389	1981	1
PB2_vRNA	389	2104	6
PB2_vRNA	389	2037	3
PB2_vRNA	389	2167	4
PB2_vRNA	389	1910	1
PB2_vRNA	389	2003	1
PB2_vRNA	389	456	3
PB2_vRNA	389	1989	2
PB2_vRNA	389	1974	5
PB2_vRNA	389	1997	2
PB2_vRNA	389	2120	2
PB2_vRNA	389	2119	5
PB2_vRNA	389	1965	3
PB2_vRNA	389	1972	1
PB2_vRNA	389	1826	1
PB2_vRNA	389	2211	2
PB2_vRNA	389	2200	1
PB2_vRNA	389	2047	4
PB2_vRNA	389	1920	1
PB2_vRNA	389	2014	1
PB2_vRNA	389	1986	2
PB2_vRNA	284	2102	1761
PB2_vRNA	284	2255	37
PB2_vRNA	284	2184	10
PB2_vRNA	284	2231	34
PB2_vRNA	284	2140	2
PB2_vRNA	284	2023	7
PB2_vRNA	284	2142	138
PB2_vRNA	284	2259	31
PB2_vRNA	284	2187	10
PB2_vRNA	284	2127	5
PB2_vRNA	284	2148	8
PB2_vRNA	284	2180	7
PB2_vRNA	284	2226	3
PB2_vRNA	284	2177	4
PB2_vRNA	284	2038	1
PB2_vRNA	284	2223	6
PB2_vRNA	284	2256	3
PB2_vRNA	284	2215	6
PB2_vRNA	284	2139	11
PB2_vRNA	284	344	3
PB2_vRNA	284	2124	1
PB2_vRNA	316	2082	10412
PB2_vRNA	316	2045	4
PB2_vRNA	316	2034	1
PB2_vRNA	316	2088	7
PB2_vRNA	316	2180	2
PB2_vRNA	316	2165	4
PB2_vRNA	316	2061	3
PB2_vRNA	316	2149	2
PB2_vRNA	316	2036	2
PB2_vRNA	252	2205	52026
PB2_vRNA	252	2140	57
PB2_vRNA	252	2214	136
PB2_vRNA	252	2176	26
PB2_vRNA	252	2200	13
PB2_vRNA	252	2203	55
PB2_vRNA	252	2183	27
PB2_vRNA	252	2190	6
PB2_vRNA	252	2129	18
PB2_vRNA	252	2137	8
PB2_vRNA	252	2124	9
PB2_vRNA	252	2187	11
PB2_vRNA	252	2182	2
PB2_vRNA	252	2185	3
PB2_vRNA	252	2169	2
PB2_vRNA	252	2156	1
PB2_vRNA	252	2143	7
PB2_vRNA	252	2184	4
PB2_vRNA	252	2206	2
PB2_vRNA	252	2222	1
PB2_vRNA	252	270	3
PB2_vRNA	252	2147	1
PB2_vRNA	252	1224	1
PB2_vRNA	247	2059	89
PB2_vRNA	247	2054	19
PB2_vRNA	247	2184	207
PB2_vRNA	247	2165	22
PB2_vRNA	247	2149	98
PB2_vRNA	247	2188	25
PB2_vRNA	247	2142	13
PB2_vRNA	247	2166	19
PB2_vRNA	247	2099	36
PB2_vRNA	247	2187	6
PB2_vRNA	247	2180	20
PB2_vRNA	247	2066	1
PB2_vRNA	247	2124	7
PB2_vRNA	247	2195	5
PB2_vRNA	171	2222	443
PB2_vRNA	171	2160	3
PB2_vRNA	171	205	17
PB2_vRNA	171	2112	4
PB2_vRNA	171	2187	7
PB2_vRNA	171	2175	9
PB2_vRNA	171	2247	1
PB2_vRNA	171	2005	2
PB2_vRNA	171	1623	1
PB2_vRNA	171	2072	2
PB2_vRNA	171	2135	1
PB2_vRNA	687	1780	126
PB2_vRNA	687	1865	69
PB2_vRNA	687	1854	7
PB2_vRNA	687	1771	23
PB2_vRNA	687	1673	3
PB2_vRNA	687	1892	2
PB2_vRNA	687	1830	1
PB2_vRNA	628	2202	2986
PB2_vRNA	628	1786	2
PB2_vRNA	562	1878	2869
PB2_vRNA	562	1858	5632
PB2_vRNA	562	1879	1293
PB2_vRNA	562	1932	301
PB2_vRNA	562	645	77
PB2_vRNA	562	1849	8
PB2_vRNA	562	583	106
PB2_vRNA	562	1896	32
PB2_vRNA	562	1908	35
PB2_vRNA	562	1504	2
PB2_vRNA	562	1887	21
PB2_vRNA	562	1895	5
PB2_vRNA	562	1949	5
PB2_vRNA	562	1888	5
PB2_vRNA	562	1797	2
PB2_vRNA	562	651	2
PB2_vRNA	562	1939	8
PB2_vRNA	562	1790	2
PB2_vRNA	562	1777	6
PB2_vRNA	562	2056	1
PB2_vRNA	562	1979	1
PB2_vRNA	562	580	1
PB2_vRNA	204	2168	2899
PB2_vRNA	204	2184	890
PB2_vRNA	204	931	20
PB2_vRNA	204	332	151
PB2_vRNA	204	2219	59
PB2_vRNA	204	2158	3
PB2_vRNA	204	2169	16
PB2_vRNA	204	2211	139
PB2_vRNA	204	2236	55
PB2_vRNA	204	1887	17
PB2_vRNA	204	2213	80
PB2_vRNA	204	2240	4
PB2_vRNA	204	1573	7
PB2_vRNA	204	249	21
PB2_vRNA	204	2154	3
PB2_vRNA	204	2037	4
PB2_vRNA	204	2164	5
PB2_vRNA	204	2159	8
PB2_vRNA	204	2061	8
PB2_vRNA	204	1735	25
PB2_vRNA	204	2098	4
PB2_vRNA	204	2222	32
PB2_vRNA	204	1877	10
PB2_vRNA	204	2225	6
PB2_vRNA	204	2063	1
PB2_vRNA	204	2155	4
PB2_vRNA	204	2229	1
PB2_vRNA	204	2197	1
PB2_vRNA	204	242	13
PB2_vRNA	204	2224	1
PB2_vRNA	204	1860	2
PB2_vRNA	204	2177	3
PB2_vRNA	204	2165	1
PB2_vRNA	204	2228	2
PB2_vRNA	204	2172	2
PB2_vRNA	204	2185	2
PB2_vRNA	204	2120	3
PB2_vRNA	204	2212	1
PB2_vRNA	515	1777	603
PB2_vRNA	515	2174	3579
PB2_vRNA	515	1908	446
PB2_vRNA	515	1956	967
PB2_vRNA	515	2018	13
PB2_vRNA	515	1922	130
PB2_vRNA	515	1932	113
PB2_vRNA	515	2077	26
PB2_vRNA	515	1761	22
PB2_vRNA	515	1957	3
PB2_vRNA	515	1879	3
PB2_vRNA	515	1789	4
PB2_vRNA	515	1892	4
PB2_vRNA	515	1923	1
PB2_vRNA	515	1378	1
PB2_vRNA	167	187	21820
PB2_vRNA	167	2249	1
PB2_vRNA	167	259	1
PB2_vRNA	167	2010	9
PB2_vRNA	167	2112	3
PB2_vRNA	167	303	1
PB2_vRNA	167	2171	4
PB2_vRNA	167	206	5
PB2_vRNA	167	2168	11
PB2_vRNA	167	300	2
PB2_vRNA	167	2074	14
PB2_vRNA	287	2176	313
PB2_vRNA	287	2180	7831
PB2_vRNA	287	2121	310
PB2_vRNA	287	2224	43
PB2_vRNA	287	2239	2
PB2_vRNA	287	2095	4
PB2_vRNA	287	2181	41
PB2_vRNA	287	2010	50
PB2_vRNA	287	2145	17
PB2_vRNA	287	2150	53
PB2_vRNA	287	1934	10
